"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","42","3.583","35.7","50.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","39","3.462","33.3","30.8","33.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","300
003","40","3.513","35.0","45.0","10.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","300
004","40","3.350","15.0","50.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","39","3.538","23.1","64.1","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","40","3.538","30.0","55.0","7.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"","007
300","42","3.655","35.7","59.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
300","41","3.439","31.7","29.3","34.1","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","009
300","37","3.514","29.7","51.4","10.8","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","40","3.538","35.0","37.5","27.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
300","37","3.581","43.2","32.4","21.6","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","014
300","35","3.500","25.7","51.4","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","472","3.518","31.1","46.4","17.8","4.2","0.4",".",".",".",".",".",".",".",".",".",".","."
"","305
001","61","3.792","82.0","8.2","3.3",".","3.3",".","1.6",".",".",".",".",".","1.6",".",".","."
"","305
002","73","3.801","79.5","9.6","8.2",".","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","134","3.797","80.6","9.0","6.0",".","2.2","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","43","3.919","88.4","7.0","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","183","3.443","43.2","19.1","29.0","2.7","4.9","1.1",".",".",".",".",".",".",".",".",".","."
"","365
002","30","3.800","93.3",".",".",".","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","365
004","16","3.536","37.5","18.8","31.3",".",".",".",".",".",".",".",".",".","6.3",".","6.3","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.718","74.5","6.4","10.6",".","2.1",".","2.1",".",".",".",".",".","2.1",".","2.1","."
"Reading & Rsch-Management","399
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","39","3.346","10.3","51.3","35.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","33","3.621","60.6","18.2","9.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","403
002","29","3.603","58.6","10.3","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","62","3.613","59.7","14.5","16.1","8.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"","422
001","42","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
422","39","3.718","66.7","25.6","2.6",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","81","3.753","66.7","24.7","6.2",".","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","45","3.367","17.8","51.1","22.2","4.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","24","3.739","54.2","33.3","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Venture Creation","434
001","36","3.750","52.8","44.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Property Rights","540
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","25","3.729","52.0","36.0","8.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Personnel Staffing & Eval","611
001","36","3.389","16.7","55.6","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","628
001","25","3.240","20.0","36.0","28.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","628
030","55","3.783","67.3","18.2","9.1","1.8",".",".",".",".",".",".",".",".","3.6",".",".","."
"Negotiations","Course Total","80","3.609","52.5","23.8","15.0","2.5","3.8",".",".",".",".",".",".",".","2.5",".",".","."
"Organizational Behavior","700
031","41","3.915","85.4","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
030","54","3.917","85.2","13.0","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","031
704","37","3.514","37.8","32.4","18.9","8.1",".",".",".",".",".",".",".",".","2.7",".",".","."
"Managing Behav in Organizatns","Course Total","91","3.756","65.9","20.9","8.8","3.3",".",".",".",".",".",".",".",".","1.1",".",".","."
