"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","47","3.287","40.4","21.3","14.9","10.6","8.5","4.3",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","182","3.707","53.3","37.9","4.9","1.1",".","1.1",".","1.1",".",".",".",".","0.5",".",".","."
"Global Phys Environments","120","001","89","3.062","19.1","19.1","34.8","9.0","18.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","16","3.367","31.3","31.3","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3","."
"Intro People-Environment Geog","139","001","112","3.317","34.8","27.7","23.2","3.6","7.1","2.7","0.9",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","27","3.167","33.3","14.8","33.3","3.7","11.1",".","3.7",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","56","3.417","44.6","16.1","28.6",".","1.8","5.4",".","1.8",".",".",".",".","1.8",".",".","."
"Limnology-Aquatic Resources","315","001","51","3.059","33.3","13.7","25.5","5.9","11.8","9.8",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","23","2.957","8.7","26.1","30.4","17.4","17.4",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","7","3.600","28.6","28.6","14.3",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Environmental Conservation","339","001","50","3.070","12.0","36.0","32.0","14.0",".","2.0","4.0",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","20","3.079","25.0","10.0","35.0","5.0","20.0",".",".","5.0",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","44","3.386","38.6","18.2","34.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","12","3.000","25.0","8.3","41.7","8.3",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","11","3.000","9.1","9.1","63.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","29","3.536","48.3","27.6","10.3",".","10.3",".",".",".",".",".",".",".","3.4",".",".","."
"","401","002","19","3.722","73.7",".","15.8",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","","Course Total","48","3.569","58.3","16.7","12.5",".","8.3",".",".","2.1",".",".",".",".","2.1",".",".","."
"","402","001","24","3.354","25.0","45.8","16.7","8.3",".","4.2",".",".",".",".",".",".",".",".",".","."
"","402","002","32","3.177","37.5","6.3","34.4","3.1","9.4","6.3",".",".",".",".",".",".","3.1",".",".","."
"","402","003","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","402","004","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","005","37","3.932","91.9","2.7","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","38","3.842","81.6","10.5","5.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","402","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","174","3.538","70.1","12.1","10.9","1.7","2.3","1.7",".",".",".",".",".",".","1.1",".",".","."
"US Envir Policy & Regulation","439","001","20","3.725","70.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","24","3.146","16.7","50.0","12.5","4.2","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"Making the American Landscape","469","001","69","3.610","46.4","29.0","21.7","1.4",".",".",".","1.4",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","6","3.167","16.7","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","89","3.478","37.1","27.0","30.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Markets","561","001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 160 of 423",""
