"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","263","3.291","14.1","44.5","28.1","10.3","2.3",".",".","0.8",".",".",".",".",".",".",".","."
"","300
002","251","3.253","15.1","37.8","35.1","9.6","1.2","0.8","0.4",".",".",".",".",".",".",".",".","."
"","003
300","152","3.207","9.9","42.8","34.9","5.9","3.3","1.3","0.7","0.7",".",".",".",".","0.7",".",".","."
"Marketing Management","Course Total","666","3.258","13.5","41.6","32.3","9.0","2.1","0.6","0.3","0.5",".",".",".",".","0.2",".",".","."
"","305
001","51","3.300","17.6","33.3","41.2","2.0","3.9",".",".",".",".",".",".",".",".",".","2.0","."
"","002
305","53","3.387","22.6","35.8","37.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","003
305","43","3.523","32.6","44.2","18.6","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","147","3.397","23.8","37.4","33.3","3.4","1.4",".",".",".",".",".",".",".",".",".","0.7","."
"","310
001","41","3.439","31.7","36.6","26.8","2.4",".","2.4",".",".",".",".",".",".",".",".",".","."
"","310
002","42","3.488","31.0","42.9","21.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","003
310","42","3.536","31.0","50.0","16.7",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","125","3.488","31.2","43.2","21.6","1.6","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"","335
001","56","3.330","17.9","35.7","41.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
335","53","3.311","20.8","41.5","24.5","5.7","7.5",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","109","3.321","19.3","38.5","33.0","5.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"","355
001","51","3.735","52.9","37.3","3.9","2.0",".",".",".",".",".",".",".",".",".","3.9",".","."
"","355
002","49","3.735","53.1","40.8","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","100","3.735","53.0","39.0","5.0","1.0",".",".",".",".",".",".",".",".",".","2.0",".","."
"Global Marketing Strategy","420
001","34","3.529","23.5","61.8","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","34","3.412","47.1","20.6","17.6","2.9","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"","002
421","27","3.556","51.9","22.2","14.8","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","61","3.475","49.2","21.3","16.4","4.9","6.6","1.6",".",".",".",".",".",".",".",".",".","."
"","422
001","26","3.404","38.5","23.1","23.1","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","002
422","16","3.250","18.8","25.0","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","42","3.345","31.0","23.8","31.0","11.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","423
001","14","3.500","42.9","21.4","14.3","14.3",".",".",".",".",".",".",".",".","7.1",".",".","."
"","423
002","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply","Course Total","25","3.458","36.0","24.0","28.0","8.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"","460
001","46","3.511","39.1","26.1","32.6","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
460","42","3.488","28.6","47.6","16.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","43","3.360","27.9","30.2","27.9","14.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","131","3.454","32.1","34.4","26.0","7.6",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","20","3.275","15.0","25.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","Course Total","27","3.296","18.5","22.2","59.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","26","3.288","15.4","34.6","42.3","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","16","2.750",".","25.0","31.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","42","3.083","9.5","31.0","38.1","14.3","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.460","22.0","48.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","48","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","58","3.612","43.1","36.2","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","031
700","40","3.663","32.5","67.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","196","3.579","34.2","47.4","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","38","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 63 of 423"
