"","990
040","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"","990
041","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"","990
042","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"Research","Course Total","39","",".",".",".",".",".",".",".","69.2","5.1",".","",".","25.6",".",".",".","."
"HORT
476","Dept. Total","349","3.373","42.4","17.2","14.3","5.2","3.2","1.4","0.9","10.9","0.6",".","",".","2.9","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.419","42.9","25.0","21.4","7.1","3.6",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","37","3.239","27.0","27.0","27.0","5.4","2.7",".","2.7","2.7",".",".","",".",".","5.4",".",".","."
"Junior","","50","3.254","52.0","8.0","18.0","10.0","4.0","4.0","2.0",".",".",".","",".",".","2.0",".",".","."
"Senior","","134","3.334","42.5","23.9","17.2","6.7","4.5","2.2","0.7","1.5",".",".","",".",".","0.7",".",".","."
"Undergraduates","","249","3.314","42.2","21.3","19.3","7.2","4.0","2.0","1.2","1.2",".",".","",".",".","1.6",".",".","."
"Special","","12","3.286","16.7",".","8.3",".","8.3",".",".","66.7",".",".","",".",".",".",".",".","."
"Graduate","","88","3.795","46.6","8.0","1.1",".",".",".",".","30.7","2.3",".","",".","11.4",".",".",".","."
"","Dept. Total","349","3.373","42.4","17.2","14.3","5.2","3.2","1.4","0.9","10.9","0.6",".","",".","2.9","1.1",".",".","."
