"L&S","","","","","","","","","","","","","","","","","","","",""
"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","172","3.301","34.9","23.3","12.2","12.2","7.0","1.2","1.2","7.0",".",".",".",".",".",".",".","1.2"
"103","002","","264","3.175","31.8","22.3","17.0","12.9","7.2","2.3","2.7","2.7",".",".",".",".",".",".",".","1.1"
"The Evolving Universe","Course Total","","436","3.223","33.0","22.7","15.1","12.6","7.1","1.8","2.1","4.4",".",".",".",".",".",".",".","1.1"
"104
Exploration of Solar System","001","","109","2.976","18.3","23.9","17.4","22.9","9.2","4.6","0.9",".",".",".",".",".","0.9",".","1.8","."
"113","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"113","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"113","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"113","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","35","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"206
History-Astronomy&Cosmology","001","","10","2.833","20.0","20.0","20.0","10.0","10.0",".","10.0",".",".",".",".",".","10.0",".",".","."
"236
History of Matter in Universe","001","","34","2.758","20.6","11.8","20.6","23.5","11.8",".","8.8","2.9",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","26","3.440","34.6","23.1","30.8","7.7",".",".",".","3.8",".",".",".",".",".",".",".","."
"330
Galaxies","001","","10","3.167","20.0","30.0","10.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"700
Basic Astrophysics I","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","",".",".",".",".",".",".",".","64.0",".",".",".","36.0",".",".",".","."
