"L&S","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","479","3.384","29.6","19.2","13.6","5.8","3.8","0.6","0.4","0.2","",".","25.9","0.2","",".","0.4","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","129","3.226","19.4","20.2","14.0","8.5","6.2","1.6",".",".","",".","29.5","0.8","",".",".",".",".","."
"Sophomore","","106","3.276","20.8","21.7","19.8","6.6","3.8",".","0.9",".","",".","26.4",".","",".",".",".",".","."
"Junior","","89","3.487","30.3","18.0","9.0","3.4","2.2","1.1",".","1.1","",".","34.8",".","",".",".",".",".","."
"Senior","","137","3.574","47.4","19.0","10.9","4.4","2.9",".","0.7",".","",".","13.9",".","",".","0.7",".",".","."
"Undergraduates","","461","3.387","30.2","19.7","13.4","5.9","3.9","0.7","0.4","0.2","",".","25.2","0.2","",".","0.2",".",".","."
"Special","","16","3.136","6.3","6.3","18.8","6.3",".",".",".",".","",".","50.0",".","",".","6.3","6.3",".","."
"Graduate","","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","Dept. Total","479","3.384","29.6","19.2","13.6","5.8","3.8","0.6","0.4","0.2","",".","25.9","0.2","",".","0.4","0.2",".","."
