"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","003","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"812","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","007","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"812","009","","10","3.500","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"812","010","","7","3.143",".","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","011","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","63","3.427","30.2","27.0","38.1","3.2",".",".",".",".",".",".",".",".",".",".","1.6","."
"910
Lab Rsch-Anesthesiology-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
