"EDU","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","",""
"","502
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
502","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","502
005","17","3.942","70.6","5.9",".",".",".",".",".","5.9",".",".",".",".","17.6",".",".","."
"","502
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
007","32","3.979","93.8","3.1",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","502
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","91","3.974","90.1","3.3",".",".",".",".",".","2.2",".",".",".",".","4.4",".",".","."
"Field Experience-Ed Ldrship","700
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
001","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","002
701","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Intro-Higher & Post-Sec Ed","Course Total","36","3.894","75.0","13.9","2.8",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro-Educational Leadership","702
001","27","3.907","92.6",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Athletics Administration","710
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","735
002","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Ldrship for Equity & Diversity","Course Total","20","4.000","85.0",".",".",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"Admin Stdt Serv-Higher Educ","736
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Inquiry","810
001","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Intro Quant Inquiry in Educ","822
001","16","3.633","62.5","6.3","18.8",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827
002","28","3.920","75.0","14.3",".",".",".",".",".",".",".",".",".",".","10.7",".",".","."
"School Finance","830
001","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Public School Law","840
001","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Technology Leadership","844
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
002","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Acadmc Prgrms-Col&Universty","880
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internationalization Higher Ed","886
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ed Admin","900
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","18","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","940
002","21","3.833","76.2","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","18","3.933","72.2","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".","5.6","."
"","940
005","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","940
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","105","3.927","82.9","8.6",".","1.0",".",".",".",".",".",".",".",".","6.7",".","1.0","."
"","990
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 90 of 423"
