"EGR","","","","","","","","","","","","","","","","","","","",""
"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"305
Fundamentals-Nuclear Engr","001","","42","3.274","33.3","31.0","14.3","14.3","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","23","3.500","52.2","17.4","17.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","20","2.925","15.0","35.0","15.0","20.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","19","3.447","15.8","63.2","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"428","002","","9","3.688","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"428","003","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory","Course Total","","15","3.679","53.3","20.0","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"525
Introduction to Plasmas","001","","10","3.350","30.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Nuclear Power Engr","001","","25","3.360","36.0","16.0","36.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"555
Nuclear Reactor Dynamics","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","15","",".",".",".",".",".",".",".","26.7",".",".",".","73.3",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","43","",".",".",".",".",".",".",".","39.5","2.3",".",".","58.1",".",".",".","."
"903
Spec Topics-Plasma Physics","001","","10","3.261","40.0",".","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 147 of 423",""
