"L&S","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","163","2.755","20.9","5.5","35.0","8.0","19.0","9.8","1.8",".",".",".",".",".",".",".",".","."
"","002
101","153","2.431","14.4","5.2","24.8","8.5","30.1","9.8","6.5","0.7",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","316","2.598","17.7","5.4","30.1","8.2","24.4","9.8","4.1","0.3",".",".",".",".",".",".",".","."
"","102
001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","13","3.423","53.8",".","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
005","8","3.375","25.0","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","006
102","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","008
102","11","3.409","27.3","45.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","009
102","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
102","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
102","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
102","12","3.208","25.0","41.7","8.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","015
102","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","016
102","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
102","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
102","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","9","2.778","11.1","22.2","44.4",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","203","3.498","41.4","30.0","21.2","3.4","3.4",".","0.5",".",".",".",".",".",".",".",".","."
"","151
001","67","2.985","16.4","10.4","47.8","10.4","9.0","4.5",".",".",".",".",".",".","1.5",".",".","."
"","151
002","44","2.616","9.1","6.8","38.6","9.1","25.0","6.8","2.3",".",".",".",".",".",".",".",".","2.3"
"","151
003","8","2.750","12.5",".","50.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","119","2.833","13.4","8.4","44.5","9.2","16.8","5.0","0.8",".",".",".",".",".","0.8",".",".","0.8"
"Introductory Biology","152
001","69","2.816","8.7","8.7","50.7","10.1","14.5","5.8",".",".",".",".",".",".","1.4",".",".","."
"","153
001","30","2.750","13.3","6.7","33.3","16.7","26.7","3.3",".",".",".",".",".",".",".",".",".","."
"","002
153","37","2.811","8.1","16.2","35.1","21.6","13.5","5.4",".",".",".",".",".",".",".",".",".","."
"","153
003","25","2.400","8.0","4.0","36.0","4.0","28.0","20.0",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","92","2.679","9.8","9.8","34.8","15.2","21.7","8.7",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","64","3.214","29.7","23.4","26.6","6.3","9.4","1.6","1.6",".",".",".",".",".",".","1.6",".","."
"","299
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
078","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
