"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","100","3.503","52.0","18.0","17.0","6.0","7.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","154","3.594","55.2","20.8","16.9","3.9","2.6","0.6","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","257","3.562","54.5","19.5","16.7","4.7","4.3","0.4","",".",".","",".",".","",".",".","",".",".",".","."
"Special","8","3.714","62.5","12.5",".","12.5",".",".","",".",".","",".","12.5","",".",".","",".",".",".","."
"Graduate","135","3.845","25.2","2.2","0.7","0.7",".",".","",".","34.1","",".","35.6","",".","0.7","",".",".","0.7","."
"Prof Yr 1","300","3.660","61.0","19.7","12.3","4.3","2.7",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","442","3.429","51.1","10.2","26.2","10.0","2.5",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","137","3.577","48.2","27.0","22.6","2.2",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","879","3.539","54.0","16.0","20.9","6.8","2.2",".","",".",".","",".",".","",".",".","",".",".",".","."
