"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Electronic Circuits I","340
001","75","2.873","12.0","17.3","30.7","24.0","12.0","2.7","1.3",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","71","3.352","38.0","14.1","39.4","2.8","4.2",".","1.4",".",".",".",".",".",".",".",".","."
"","352
001","91","3.022","12.1","36.3","24.2","12.1","11.0","2.2","2.2",".",".",".",".",".",".",".",".","."
"","002
352","34","3.059","29.4","17.6","14.7","23.5","8.8","5.9",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","125","3.032","16.8","31.2","21.6","15.2","10.4","3.2","1.6",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","57","3.096","22.8","17.5","29.8","15.8","14.0",".",".",".",".",".",".",".",".",".",".","."
"","354
001","30","2.983","23.3","16.7","26.7","13.3","16.7",".","3.3",".",".",".",".",".",".",".",".","."
"","002
354","43","3.302","34.9","25.6","18.6","11.6","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","73","3.171","30.1","21.9","21.9","12.3","11.0","1.4","1.4",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","355
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elect Power for Alt Energy Sys","356
001","45","3.318","24.4","17.8","51.1","4.4",".",".",".",".",".",".",".",".","2.2",".",".","."
"","370
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
370","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","60","3.733","56.7","33.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","139","3.162","29.5","6.5","44.6","5.8","13.7",".",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","76","3.684","57.9","26.3","11.8","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
054","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","13","3.948","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","411
001","25","3.140","12.0","36.0","32.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","411
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
411","22","2.886","13.6","22.7","31.8","18.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","Course Total","50","3.010","12.0","28.0","34.0","14.0","8.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"","427
001","49","3.673","65.3","16.3","6.1","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"","427
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","53","3.679","66.0","15.1","7.5","11.3",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431
001","40","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","24","2.813","8.3","12.5","45.8","8.3","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"Communication Systems I","436
001","9","3.563","44.4","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","11.1","."
"Introduction to Robotics","439
001","10","3.350","40.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile Computing Laboratory","454
001","30","3.650","36.7","56.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
