"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","185","2.959","21.1","15.7","31.4","9.7","18.4","1.6","2.2",".",".",".",".",".",".",".",".","."
"","300
002","220","3.007","26.8","16.8","18.2","11.8","25.0","0.5","0.9",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","405","2.985","24.2","16.3","24.2","10.9","22.0","1.0","1.5",".",".",".",".",".",".",".",".","."
"","305
001","49","3.281","32.7","6.1","46.9","8.2","4.1",".",".",".",".",".",".",".","2.0",".",".","."
"","002
305","51","3.088","25.5","2.0","43.1","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","100","3.182","29.0","4.0","45.0","16.0","5.0",".",".",".",".",".",".",".","1.0",".",".","."
"","320
001","58","3.043","15.5","20.7","37.9","12.1","12.1","1.7",".",".",".",".",".",".",".",".",".","."
"","002
320","57","2.947","10.5","24.6","35.1","17.5","5.3","7.0",".",".",".",".",".",".",".",".",".","."
"","003
320","55","3.200","23.6","14.5","45.5","10.9","5.5",".",".",".",".",".",".",".",".",".",".","."
"","004
320","41","3.275","29.3","14.6","39.0","9.8","4.9",".",".",".",".",".",".",".",".","2.4",".","."
"Investment Theory","Course Total","211","3.102","19.0","19.0","39.3","12.8","7.1","2.4",".",".",".",".",".",".",".","0.5",".","."
"","001
325","65","3.315","30.8","18.5","38.5","7.7","4.6",".",".",".",".",".",".",".",".",".",".","."
"","002
325","60","3.358","26.7","28.3","38.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","003
325","59","3.246","25.4","23.7","35.6","11.9","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","184","3.307","27.7","23.4","37.5","7.6","3.3",".","0.5",".",".",".",".",".",".",".",".","."
"","330
002","54","3.398","42.6","13.0","33.3","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"","330
003","107","3.252","26.2","29.0","25.2","7.5","9.3",".","0.9","0.9",".",".",".",".","0.9",".",".","."
"Derivative Securities","Course Total","161","3.302","31.7","23.6","28.0","6.2","8.7",".","0.6","0.6",".",".",".",".","0.6",".",".","."
"","365
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
365","14","3.679","57.1","35.7",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","365
004","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","40","3.794","75.0","20.0",".","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","96","3.342","26.0","26.0","38.5","6.3","2.1",".",".",".",".",".",".",".","1.0",".",".","."
"","420
001","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","34","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","24","3.261","50.0",".","20.8",".","25.0",".",".","4.2",".",".",".",".",".",".",".","."
"","700
001","48","3.573","41.7","31.3","27.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","50","3.500","34.0","32.0","34.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","58","3.534","36.2","34.5","29.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","156","3.535","37.2","32.7","30.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
031","37","3.527","32.4","40.5","27.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","735
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","38","3.421","26.3","36.8","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","82","3.610","50.0","32.9","14.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
