"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW-MODERN","Section","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","",""
"First Semester Hebrew","101
001","","25","3.292","56.0","20.0","4.0","4.0","",".","",".","12.0",".","4.0",".",".","",".","","",".",".",".","."
"Third Semester Hebrew","201
001","","8","4.000","100.0",".",".",".","",".","",".",".",".",".",".",".","",".","","",".",".",".","."
"Intro to Hebrew Literature","301
001","","9","3.625","33.3","44.4","11.1",".","",".","",".",".","11.1",".",".",".","",".","","",".",".",".","."
"Topics in Modern Hebrew Lit","401
001","","3","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"HEBR-MOD
442","Dept. Total","","45","3.522","62.2","20.0","4.4","2.2","",".","",".","6.7","2.2","2.2",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","14","3.528","64.3","21.4","7.1",".","",".","",".","7.1",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","","11","3.631","45.5","45.5",".","9.1","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","","7","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","","7","3.795","71.4","14.3","14.3",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","39","3.690","66.7","23.1","5.1","2.6","",".","",".","2.6",".",".",".","",".","",".","",".",".",".","."
"Special","","","6","2.000","33.3",".",".",".","",".","",".","33.3","16.7","16.7",".","",".","",".","",".",".",".","."
"","Dept. Total","","45","3.522","62.2","20.0","4.4","2.2","",".","",".","6.7","2.2","2.2",".","",".","",".","",".",".",".","."
