"","999
083","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
089","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
129","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"DMA Recital","Course Total","30","3.813","56.7","3.3","13.3",".",".","",".",".",".","",".",".","",".","",".","26.7",".",".","."
"MUS PERF
664","Dept. Total","432","3.855","73.6","15.5","4.6","1.2","0.5","",".","0.2","0.2","",".",".","",".","",".","3.9",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","3.552","56.4","21.8","9.1","7.3","3.6","",".","1.8",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","82","3.824","67.1","25.6","4.9",".",".","",".",".","1.2","",".",".","",".","",".","1.2",".",".","."
"Junior","","69","3.860","73.9","18.8","2.9","1.4",".","",".",".",".","",".",".","",".","",".","2.9",".",".","."
"Senior","","95","3.905","81.1","11.6","4.2",".",".","",".",".",".","",".",".","",".","",".","3.2",".",".","."
"Undergraduates","","301","3.810","71.1","18.9","5.0","1.7","0.7","",".","0.3","0.3","",".",".","",".","",".","2.0",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","129","3.932","79.1","7.8","3.9",".",".","",".",".",".","",".",".","",".","",".","8.5",".","0.8","."
"","Dept. Total","432","3.855","73.6","15.5","4.6","1.2","0.5","",".","0.2","0.2","",".",".","",".","",".","3.9",".","0.2","."
