"","919
004","1","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
041","3","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
042","3","***","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","7","3.885","71.4","28.6",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"NEUROL
676","Dept. Total","118","3.545","49.2","19.5","28.8","",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","0.8"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","11","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","21","3.956","90.5",".","4.8","",".","",".","",".","",".","",".","",".",".","",".","",".","4.8",".",".","."
"Undergraduates","","37","3.975","94.6",".","2.7","",".","",".","",".","",".","",".","",".",".","",".","",".","2.7",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","65","3.413","26.2","27.7","43.1","",".","",".","",".","",".","",".","",".",".","",".","",".","1.5",".",".","1.5"
"Prof Yr 4","","15","3.571","40.0","33.3","26.7","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","81","3.436","28.4","28.4","40.7","",".","",".","",".","",".","",".","",".",".","",".","",".","1.2",".",".","1.2"
"","Dept. Total","118","3.545","49.2","19.5","28.8","",".","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","0.8"
