"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","","63","3.452","60.3","17.5","7.9","3.2","3.2","4.8","3.2",".",".",".",".",".",".",".",".","."
"","103","001","","49","3.745","73.5","14.3","6.1","4.1",".","2.0",".",".",".",".",".",".",".",".",".","."
"","103","002","","48","3.563","60.4","16.7","8.3","8.3","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","","97","3.655","67.0","15.5","7.2","6.2","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","","59","3.644","62.7","16.9","11.9","3.4","5.1",".",".",".",".",".",".",".",".",".",".","."
"","122","001","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","122","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","124","001","","21","3.605","47.6","23.8","9.5","9.5",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"Third Semester Chinese","201","001","","45","3.811","75.6","15.6","6.7",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","","28","3.339","53.6","17.9",".","14.3","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","13","3.654","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","300","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","","31","3.742","83.9","6.5",".","6.5",".",".","3.2",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","","31","3.484","45.2","29.0","19.4","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"","319","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","319","002","","6","3.589","50.0","16.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","","7","3.652","57.1","14.3",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","","22","3.619","59.1","22.7","4.5","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"Elementary Korean","325","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Conversation","333","001","","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Japanese Conversatn","335","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","","17","3.765","64.7","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","","26","3.765","69.2","19.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Chinese Literature","351","001","","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Japanese Literature","353","001","","21","3.425","23.8","42.9","19.0","9.5",".",".",".",".",".",".",".",".","4.8",".",".","."
"Japanese Poetic Tradition","367","001","","9","2.722","11.1","11.1","44.4","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","","53","3.896","81.1","17.0","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Manga","376","001","","15","3.067","13.3","46.7","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","","19","3.882","78.9",".","10.5",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean","405","001","","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Intro to Chinese Linguistics","431","001","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Classical Chinese Lit","571","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","601","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching of Chinese","622","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Japanese-Foreign Lang","623","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","","Page 207 of 423",""
