"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.917","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro to Sci & Technol of Food","001","","52","2.913","15.4","32.7","21.2","15.4","5.8","1.9","7.7",".",".",".",".",".",".",".",".","."
"324","003","","17","3.176","11.8","47.1","23.5","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"324","004","","10","2.650",".","40.0","10.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","27","2.981","7.4","44.4","18.5","18.5",".","11.1",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","43","3.233","30.2","14.0","39.5","4.7","11.6",".",".",".",".",".",".",".",".",".",".","."
"375","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"410
Food Chemistry","001","","53","2.906","13.2","18.9","34.0","15.1","13.2","5.7",".",".",".",".",".",".",".",".",".","."
"437
Food Service Operations","001","","47","3.283","6.4","53.2","29.8","6.4","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"438","001","","23","3.870","87.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","48","3.938","93.8","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","35","3.371","37.1","28.6","14.3","17.1",".","2.9",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"532
Integrated Food Manufacturing","001","","48","2.531","6.3","6.3","18.8","41.7","18.8","8.3",".",".",".",".",".",".",".",".",".","."
"535
Confectionery Science&Technlgy","001","","17","3.000","17.6","17.6","35.3","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"602
Senior Project","001","","41","3.329","19.5","41.5","26.8","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"699
Special Problems","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","005","","14","3.346","7.1","50.0","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","34","",".",".",".",".",".",".",".","61.8",".",".",".","38.2",".",".",".","."
