"EGR","","","","","","","","","","","","","","","","","","","",""
"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Study","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"330
Thermodynamics of Materials","001","","65","3.250","24.6","23.1","30.8","16.9","3.1",".",".",".",".",".",".",".","1.5",".",".","."
"332
Macroprocessing-Materials","001","","54","3.315","22.2","27.8","44.4","1.9","3.7",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","190","3.413","28.9","40.5","20.0","8.4","1.1","0.5","0.5",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","71","2.993","16.9","21.1","28.2","16.9","9.9","2.8","1.4",".",".",".",".",".","1.4","1.4",".","."
"360","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","003","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","005","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","006","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","64","3.906","82.8","15.6","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","53","3.410","24.5","32.1","35.8",".","1.9",".",".",".",".",".",".",".","5.7",".",".","."
"423
Nuclear Engr Materials","001","","8","3.000",".","25.0","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","21","3.548","33.3","42.9","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","35","3.029","28.6","25.7","8.6","8.6","17.1","8.6",".",".",".",".",".",".","2.9",".",".","."
"448
Crystallog & Xray Diffractn","001","","22","3.738","54.5","31.8","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","52","3.308","23.1","38.5","25.0","7.7","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","51","3.440","31.4","27.5","37.3",".","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"461
Advanced Metal Casting","001","","9","3.389","44.4","33.3","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"470
Capstone Project I","001","","38","3.684","73.7","2.6","13.2","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","25","3.542","48.0","20.0","20.0","4.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"541
Heterogeneous&Multiphase Mtrls","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"790","002","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"790","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
