"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Economics of Health Care","548
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Pub Affr Prof Devlpmnt Workshp","800
001","","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","818
001","","42","3.381","28.6","33.3","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School Finance","830
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","","11","3.600","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Public Program Evaluation","871
001","","20","3.895","75.0","20.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","878
001","","20","3.658","30.0","65.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","878
002","","19","3.684","36.8","63.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","Course Total","","39","3.671","33.3","64.1",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Microecon Policy Analysis","880
001","","42","3.714","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
002","","14","3.393","14.3","57.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","Course Total","","34","3.632","41.2","47.1","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Compartve&Natnl Social Policy","888
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
974","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","35","3.829","71.4","22.9","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
