"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","051","13","3.462",".","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","052","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","053","13","3.462","15.4","69.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","054","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","13","3.231","23.1","30.8","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","100","056","12","3.417","16.7","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100","057","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","058","13","3.154","7.7","30.8","53.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","059","13","3.333","30.8","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","100","060","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","062","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","063","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","738","3.465","28.5","43.2","23.0","3.7","1.4",".","0.1",".",".",".",".",".","0.1",".",".","."
"Intro-Digital Media Production","155","001","146","3.685","52.7","39.0","5.5","0.7","1.4",".","0.7",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181","001","13","3.577","23.1","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200","001","116","3.375","19.0","54.3","15.5","8.6","1.7",".","0.9",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250","001","218","3.096","11.0","38.5","30.7","10.1","6.4","0.5","2.8",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","260","001","231","3.141","15.6","31.6","35.1","10.4","4.8","0.4","2.2",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","103","3.354","35.0","34.0","13.6","7.8","7.8","1.0","1.0",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","53","2.991","20.8","9.4","34.0","22.6","11.3","1.9",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","147","2.932","15.0","24.5","25.9","15.0","15.6","1.4","2.7",".",".",".",".",".",".",".",".","."
"Topics: Film and Media Studies","313","001","60","3.367","15.0","51.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","76","3.118","17.1","26.3","34.2","13.2","6.6","2.6",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","95","3.058","5.3","41.1","35.8","6.3","8.4","1.1","2.1",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","48","3.281","14.6","35.4","43.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","162","3.016","14.8","25.9","29.6","11.7","11.1","1.9","1.9","2.5",".",".",".",".","0.6",".",".","."
"Television Industries","351","001","150","2.893","10.0","18.0","37.3","16.7","13.3","4.0",".","0.7",".",".",".",".",".",".",".","."
"Film History to 1960","352","001","17","3.500","29.4","29.4","29.4",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","29","3.018","6.9","44.8","20.7","6.9","10.3","6.9",".",".",".",".",".",".",".",".","3.4","."
"Intro to Media Production","355","001","133","3.153","12.8","33.1","33.8","10.5","7.5","0.8",".",".",".",".",".",".","1.5",".",".","."
"History of Documentary Film","358","001","21","3.194","23.8","14.3","42.9",".",".",".","4.8",".",".",".",".",".","9.5","4.8",".","."
"Rhetoric, Politics, Culture","360","001","76","3.336","35.5","23.7","23.7","11.8","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","104","2.918","19.2","9.6","31.7","24.0","12.5","1.0","1.9",".",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","185","3.133","13.5","33.0","31.9","11.9","7.6","1.6",".","0.5",".",".",".",".",".",".",".","."
"The Films of Alfred Hitchcock","400","001","22","3.342","18.2","36.4","18.2","13.6",".",".",".","9.1",".",".",".",".",".",".","4.5","."
"Psychology of Communication","402","001","24","3.313","20.8","29.2","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","20","3.806","60.0","25.0","5.0",".",".",".",".",".",".",".",".",".","5.0","5.0",".","."
"","465","001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.726","51.6","41.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","001","14","3.429","35.7","28.6","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
