"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","101
002","28","2.625","25.0","14.3","17.9","3.6","14.3","21.4","3.6",".",".",".",".",".",".",".",".","."
"","003
101","29","3.207","31.0","34.5","10.3","6.9","10.3","6.9",".",".",".",".",".",".",".",".",".","."
"","101
004","20","2.850","10.0","25.0","15.0","45.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","005
101","23","2.217","13.0","4.3","8.7","30.4","21.7","8.7","13.0",".",".",".",".",".",".",".",".","."
"Intermediate Algebra","Course Total","100","2.745","21.0","20.0","13.0","19.0","12.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","112
002","85","2.588","11.8","11.8","28.2","11.8","25.9","4.7","5.9",".",".",".",".",".",".",".",".","."
"","112
005","90","2.611","15.6","8.9","30.0","8.9","23.3","8.9","4.4",".",".",".",".",".",".",".",".","."
"","008
112","84","2.470","11.9","11.9","17.9","15.5","28.6","8.3","6.0",".",".",".",".",".",".",".",".","."
"","112
011","79","2.576","13.9","15.2","22.8","11.4","22.8","6.3","7.6",".",".",".",".",".",".",".",".","."
"","112
014","88","2.776","15.9","10.2","29.5","15.9","19.3","8.0",".",".",".",".",".",".","1.1",".",".","."
"","017
112","90","2.483","12.2","12.2","26.7","15.6","15.6","6.7","11.1",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","516","2.584","13.6","11.6","26.0","13.2","22.5","7.2","5.8",".",".",".",".",".","0.2",".",".","."
"","113
001","28","2.839","10.7","14.3","35.7","10.7","28.6",".",".",".",".",".",".",".",".",".",".","."
"","002
113","41","2.732","12.2","24.4","14.6","19.5","22.0","2.4","4.9",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","69","2.775","11.6","20.3","23.2","15.9","24.6","1.4","2.9",".",".",".",".",".",".",".",".","."
"","114
001","247","2.923","23.5","14.6","27.1","9.7","18.2","5.3","1.6",".",".",".",".",".",".",".",".","."
"","114
002","206","2.871","12.1","14.1","37.9","18.4","13.1","3.4","1.0",".",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","Course Total","453","2.900","18.3","14.3","32.0","13.7","15.9","4.4","1.3",".",".",".",".",".",".",".",".","."
"","130
001","24","3.208","20.8","29.2","33.3","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
130","31","2.758","25.8","6.5","16.1","16.1","25.8","9.7",".",".",".",".",".",".",".",".",".","."
"Math for","Course Total","55","2.955","23.6","16.4","23.6","10.9","20.0","5.5",".",".",".",".",".",".",".",".",".","."
"","001
131","19","3.053","26.3","10.5","42.1","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","002
131","15","3.400","33.3","33.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Math for Tchng: Geom&Measrmnt","Course Total","34","3.206","29.4","20.6","32.4","8.8","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","132
001","18","3.444","50.0","16.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","41","2.902","14.6","17.1","26.8","22.0","17.1","2.4",".",".",".",".",".",".",".",".",".","."
"","171
001","185","2.597","10.8","8.6","27.6","14.6","30.3","6.5","1.6",".",".",".",".",".",".",".",".","."
"","002
171","254","2.970","19.7","22.8","18.5","24.0","9.4","2.8","2.4",".",".",".",".",".",".","0.4",".","."
"Calc with Algebra & Trig I","Course Total","439","2.813","15.9","16.9","22.3","20.0","18.2","4.3","2.1",".",".",".",".",".",".","0.2",".","."
"","211
001","185","2.959","22.2","15.7","23.8","17.3","17.8","2.2","1.1",".",".",".",".",".",".",".",".","."
