"","LANG & CULTURES OF ASIA - LA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"First Semester Filipino","305","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"First Semester Hmong","307","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","309","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","309","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Indonesian","","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Thai","317","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","319","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","323","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","323","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"First Semester Turkish","339","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","353","001","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","369","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","371","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Burmese","403","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","405","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hmong","407","001","","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Indonesian","409","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai","417","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Vietnamese","419","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi","453","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Persian","463","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Urdu","471","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Burmese","503","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hmong","507","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","509","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","509","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Indonesian","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Fifth Semester Thai","517","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","519","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Turkish & Azeri","539","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hindi","553","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Persian","563","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","","Page 258 of 423",""
