"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Appl Dyn Sys, Chaos&Modelng","415
001","33","3.594","54.5","18.2","15.2","6.1","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"","421
001","23","3.174","26.1","17.4","30.4","17.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"","421
002","20","2.650","30.0","20.0","15.0",".","5.0","20.0","10.0",".",".",".",".",".",".",".",".","."
"","003
421","27","2.704","11.1","11.1","40.7","11.1","11.1","14.8",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","Course Total","70","2.843","21.4","15.7","30.0","10.0","8.6","11.4","2.9",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
001","26","3.212","46.2","7.7","15.4","19.2","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"","002
431","31","3.016","29.0","3.2","38.7","6.5","19.4","3.2",".",".",".",".",".",".",".",".",".","."
"","431
003","29","3.276","44.8","10.3","24.1","3.4","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"","431
004","20","2.625","25.0","10.0","20.0","5.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","106","3.061","36.8","7.5","25.5","8.5","16.0","2.8","2.8",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","14","2.893","28.6","7.1","35.7",".","21.4",".","7.1",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","18","3.694","72.2","11.1",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461
001","22","3.227","50.0","9.1","18.2",".","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","36","3.361","47.2","8.3","25.0","8.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","31","3.145","16.1","22.6","45.2","12.9",".","3.2",".",".",".",".",".",".",".",".",".","."
"","521
001","30","2.817","26.7","13.3","23.3","3.3","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","521
002","32","2.887","28.1","9.4","28.1","6.3","12.5","9.4","3.1",".",".",".",".",".","3.1",".",".","."
"","521
003","25","3.060","28.0","12.0","32.0","16.0","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"","004
521","27","2.904","22.2","22.2","22.2","3.7","14.8","7.4","3.7","3.7",".",".",".",".",".",".",".","."
"","521
005","21","3.286","47.6",".","33.3",".","19.0",".",".",".",".",".",".",".",".",".",".","."
"Analysis I","Course Total","135","2.970","29.6","11.9","27.4","5.9","13.3","8.9","1.5","0.7",".",".",".",".","0.7",".",".","."
"","522
002","17","3.313","29.4","23.5","23.5","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","522
003","11","2.818","18.2","9.1","45.5","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Analysis II","Course Total","28","3.111","25.0","17.9","32.1","10.7","7.1",".","3.6","3.6",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","34","2.955","32.4","17.6","17.6","8.8","5.9","8.8","5.9","2.9",".",".",".",".",".",".",".","."
"","541
001","30","3.086","23.3","30.0","16.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".","3.3","."
"","541
002","20","3.200","50.0","15.0","10.0","5.0","5.0","15.0",".",".",".",".",".",".",".",".",".","."
"","003
541","19","2.375","10.5","10.5","10.5","21.1","15.8","5.3","10.5",".",".",".",".",".","5.3",".",".","10.5"
"Modern Algebra","Course Total","69","2.946","27.5","20.3","13.0","10.1","11.6","8.7","2.9",".",".",".",".",".","1.4",".","1.4","2.9"
"Modern Algebra","542
001","12","2.611","25.0","8.3","8.3",".","16.7","8.3","8.3",".",".",".",".",".","8.3",".",".","16.7"
"Elementary Topology","551
001","33","3.379","48.5","21.2","15.2",".","9.1","6.1",".",".",".",".",".",".",".",".",".","."
"Elementary Number Theory","567
001","36","3.208","41.7","11.1","25.0","2.8","13.9","5.6",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Set Theory","570
001","21","3.143","33.3","19.0","19.0","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Math Mthds-Structural Biology","606
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","623
001","10","3.000","40.0",".","20.0",".","10.0",".","10.0",".","10.0",".",".",".",".","10.0",".","."
"","632
001","23","2.630","17.4","4.3","39.1",".","26.1","8.7","4.3",".",".",".",".",".",".",".",".","."
"","632
002","20","3.025","40.0","10.0","20.0","5.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","43","2.814","27.9","7.0","30.2","2.3","20.9","7.0","4.7",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 272 of 423",""
