"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"799","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Counseling in Audiology","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Clinical Research Methods","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
The Human Balance System","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"846
The Human Balance System: Lab","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"850
Hearing Sci I: Basic Acoustics","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"852
Hearing Assessment","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"853
Hearing Assessment Laboratory","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"854
Electroacous & Instr Calibratn","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Electroacoustics&Calibration","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Physiolog Assess Audiology II","001","","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Physiol Assess Auditory Sys II","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"863
Implantbl Auditory Prostheses","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Clerkship in Audiology I","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892
Clerkship in Audiology II","002","","12","3.905","75.0",".","8.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"893
Clerkship in Audiology III","001","","13","3.900","84.6",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"894
Externship in Audiology","001","","11","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"899","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Smr-Prob in Audiology","001","","11","3.766","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","78.6",".",".",".","21.4",".",".",".","."
"999","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 197 of 423",""
