"L&S","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","195","3.233","27.7","28.7","20.0","12.3","8.2","1.5","0.5","0.5",".",".",".",".","0.5",".",".","."
"Global Language Issues","211
001","10","3.250","50.0","20.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
003","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
007","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
009","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
011","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
015","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
025","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
027","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","028
310","15","",".",".",".",".",".",".",".",".",".","93.3",".",".",".","6.7",".","."
"","030
310","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","310
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","112","",".",".",".",".",".",".",".",".",".","98.2","0.9",".",".","0.9",".","."
"Contemporary Issues-Intl St","320
001","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","322
001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374
001","22","3.591","50.0","31.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","401
001","20","3.316","25.0","20.0","45.0",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","401
002","23","3.674","60.9","17.4","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","Course Total","43","3.537","44.2","18.6","30.2","2.3","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Topics in Global Security","601
001","22","3.659","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","603
001","16","3.625","50.0","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","622
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
