"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Geom Modeling-Engr Applcatn","331
001","119","3.206","13.4","42.0","32.8","4.2","5.0","0.8","1.7",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","340
001","135","3.400","42.2","27.4","15.6","6.7","5.2","1.5","1.5",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","105","3.700","63.8","21.0","10.5","2.9","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"","349
002","20","3.225","30.0","10.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","349
004","20","3.450","15.0","70.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","19","3.316","26.3","36.8","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","59","3.331","23.7","39.0","20.3","13.6","3.4",".",".",".",".",".",".",".",".",".",".","."
"","351
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","27","3.815","81.5",".","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
351","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","89","3.899","85.4","9.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","57","3.313","31.6","26.3","22.8","10.5","5.3","1.8",".",".",".",".",".",".","1.8",".",".","."
"","002
361","58","3.167","20.7","32.8","22.4","13.8","5.2","1.7","1.7",".",".",".",".",".","1.7",".",".","."
"","361
003","56","3.134","30.4","21.4","25.0","8.9","7.1","5.4","1.8",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","171","3.204","27.5","26.9","23.4","11.1","5.8","2.9","1.2",".",".",".",".",".","1.2",".",".","."
"","363
001","50","3.270","34.0","12.0","36.0","10.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","363
002","67","3.463","26.9","49.3","16.4","4.5","3.0",".",".",".",".",".",".",".",".",".",".","."
"","003
363","28","3.411","32.1","39.3","10.7","14.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"","363
004","36","2.903","19.4","25.0","22.2","11.1","13.9","2.8","5.6",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","181","3.290","28.2","32.6","22.1","8.8","6.6","0.6","1.1",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","364
001","107","3.121","14.0","33.6","31.8","11.2","6.5","1.9","0.9",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","104","3.337","12.5","51.9","29.8","3.8","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","86","3.122","25.6","12.8","33.7","16.3","11.6",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","415
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","76","3.720","55.3","31.6","11.8",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"","418
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","79","3.727","55.7","30.4","11.4",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","419
001","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
002","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","21","3.650","42.9","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"Intermediate Vibrations","440
001","25","3.500","36.0","36.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mechatronics Cntrl Rlztn","445
001","12","3.167","41.7",".","41.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","446
001","20","3.526","35.0","40.0","15.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","446
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","26","3.520","34.6","38.5","19.2",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","447
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","44","3.186","20.5","13.6","50.0","9.1","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 139 of 423",""
