"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","100
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","19","3.421","47.4","5.3","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
100","14","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
100","19","3.500","63.2","5.3","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","012
100","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
100","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","19","3.605","63.2","15.8","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","100
019","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
100","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","19","3.579","47.4","21.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
100","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","19","3.263","21.1","42.1","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","024
100","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
025","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","16","3.750","68.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","029
100","19","3.737","73.7","15.8",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
030","19","3.778","78.9",".","10.5",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","100
031","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","033
100","19","3.632","68.4","10.5","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","100
034","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","19","3.789","78.9","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
037","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
038","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","039
100","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
040","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
041","19","3.711","57.9","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","100
042","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","043
100","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
100","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
045","19","3.579","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","047
100","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","048
100","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","100
050","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
051","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to College Composition","Course Total","839","3.809","74.4","17.0","6.0","1.1","1.1","0.1","0.1",".",".",".",".",".","0.2",".",".","."
