"L&S","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","20","3.053","30.0","5.0","20.0","25.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"315
Limnology-Aquatic Resources","001","","125","3.082","28.0","5.6","39.2","8.8","14.4","0.8","0.8","2.4",".",".",".",".",".",".",".","."
"316","001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"316","002","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"316","003","","24","3.813","75.0","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","","72","3.875","79.2","18.1","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","135","3.296","31.9","26.7","27.4","5.9","5.2","1.5","1.5",".",".",".",".",".",".",".",".","."
"400","001","","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"400","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","Course Total","","15","3.884","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"405
Intro to Museum Studies","001","","15","3.762","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","42","3.000","21.4","19.0","28.6","4.8","19.0","4.8",".",".",".",".",".",".",".",".","2.4","."
"430
Compar Anatomy-Vertebrates","001","","45","2.705","22.2","13.3","17.8","8.9","22.2","8.9","4.4",".",".",".",".",".","2.2",".",".","."
"460
General Ecology","001","","13","3.231","7.7","46.2","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"466
Principles of Genetics","001","","21","2.976","23.8","9.5","42.9","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","71","3.357","38.0","22.5","23.9","2.8","9.9","1.4",".","1.4",".",".",".",".",".",".",".","."
"540
Theoretical Ecology","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Lab-Developmental Biology","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","100","3.200","35.0",".","53.0",".","10.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"603
Endocrinology","001","","58","3.060","31.0","19.0","19.0","13.8","10.3","3.4","3.4",".",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Climate Change Ecology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","059","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","062","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 336 of 423",""
