"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","***","","","","","","","","","","","",".","",".","",".",".",".","50.0","."
"Senior","9","3.167","33.3","11.1","22.2","22.2","11.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","11","3.250","36.4","9.1","18.2","18.2","9.1",".","",".",".","",".",".","",".","",".",".",".","9.1","."
"Special","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","24","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","89","3.994","98.9","1.1",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","358","3.336","21.2","10.1","13.4","2.5","2.8","0.3","",".","49.4","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 4","249","4.000","28.5",".",".",".",".",".","",".","58.6","",".",".","",".","",".","0.4",".","12.4","."
"Professionals","696","3.532","33.8","5.3","6.9","1.3","1.4","0.1","",".","46.4","",".",".","",".","",".","0.3",".","4.5","."
