"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","854
018","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
020","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","178","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".","0.6","6.2"
"Collctv Bargang-Arbtrn Proc","858
001","7","1.286",".",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Criminal Procedure","860
001","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"Institutionalized Persons","862
001","19","",".",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","21.1"
"State and Local Taxation","868
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"International Trade Law","871
001","22","1.364","13.6",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immigration Law","873
001","25","1.417","16.0",".","24.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","51","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Journal of Law, Gender & Soc.","896
001","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Securities Regulation","914
001","7","2.000","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
001","30","1.500","23.3",".","13.3",".","3.3",".",".","6.7",".",".",".",".",".",".",".","."
"","915
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","915
003","18","1.389","5.6",".","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","52","1.457","15.4",".","21.2",".","1.9",".",".","11.5",".",".",".",".",".",".",".","."
"","918
001","9","1.438","22.2","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","002
918","11","2.182",".",".","72.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","20","1.868","10.0","5.0","40.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Probs-Jurisprudence Seminar","922
001","10","1.111","10.0",".","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Problems: Tort Law Seminar","926
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems of Adm Law-Seminar","932
001","10","1.300","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","28","1.071","10.7",".","21.4",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","940
005","23","1.304","13.0",".","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","9","0.429",".",".","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","007
940","13","0.909","7.7",".","15.4",".",".",".",".","7.7",".",".",".",".",".",".","7.7","."
"","940
008","7","0.857",".",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
009","28","0.769","7.1",".","14.3",".",".",".",".",".",".",".",".",".","3.6",".","3.6","."
"","940
010","24","2.000","12.5","8.3","37.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","940
012","8","1.625","12.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
013","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
015","39","1.211","5.1",".","30.8",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"","940
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","203","1.252","8.4","1.5","23.2",".","0.5",".","0.5","10.3",".",".",".",".","1.0",".","1.0","."
"European Union Law","942
001","16","1.700","12.5","6.3","25.0",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","950
001","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
002","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Problems:Bus Org-Seminar","953
001","6","1.167","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Estate Planning","957
001","10","0.700","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 342 of 423",""
