"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Legacy of Greece & Rome","100
001","24","3.646","70.8","12.5","8.3",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110
001","46","3.424","28.3","37.0","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ancient Monsters","150
001","105","3.486","19.0","62.9","13.3","2.9","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","34","3.371","44.1","14.7","17.6","5.9","5.9",".","2.9",".",".",".",".",".",".","8.8",".","."
"Intro-Biblical Archaeology","241
001","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","24","3.261","33.3","20.8","20.8","12.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"The Greeks","320
001","84","3.530","36.9","33.3","23.8","3.6",".",".",".","2.4",".",".",".",".",".",".",".","."
"","373
001","41","3.551","48.8","24.4","17.1","2.4",".",".","2.4",".",".",".",".",".","4.9",".",".","."
"","002
373","27","3.788","59.3","33.3","3.7",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","373
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Classical Culture","Course Total","73","3.659","53.4","27.4","11.0","1.4",".",".","1.4","2.7",".",".",".",".","2.7",".",".","."
"Topics-Classical Archaeology","430
001","18","3.382","50.0","5.6","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".","5.6"
"Directed Reading","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Hist of Philosophy","830
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","416","3.497","37.5","35.6","16.8","4.6","1.7","0.5","0.5","1.4",".",".",".",".","0.5","0.7",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.446","29.4","47.1","11.8","9.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","107","3.504","29.0","46.7","17.8","2.8","1.9",".",".","0.9",".",".",".",".","0.9",".",".","."
"Junior","","113","3.360","32.7","34.5","21.2","3.5","2.7","1.8","1.8",".",".",".",".",".","0.9",".",".","0.9"
"Senior","","132","3.619","53.0","25.0","15.9","5.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","403","3.494","38.0","36.2","17.4","4.7","1.7","0.5","0.5","0.2",".",".",".",".","0.5",".",".","0.2"
"Special","","12","3.731","16.7","16.7",".",".",".",".",".","41.7",".",".",".",".",".","25.0",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","416","3.497","37.5","35.6","16.8","4.6","1.7","0.5","0.5","1.4",".",".",".",".","0.5","0.7",".","0.2"
