"EDU","","","","","","","","","","","","","","","","","","",""
"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
110","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","38","3.882","81.6","15.8",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
115","37","3.838","73.0","21.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","47","3.926","85.1","14.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
115","39","3.859","79.5","12.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
115","43","3.733","72.1","14.0","9.3","2.3",".","2.3",".",".",".",".",".",".",".",".",".","."
"","115
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","019
115","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
020","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
115","22","3.432","68.2","13.6",".",".","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"","115
022","21","3.595","61.9","14.3","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","034
115","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","035
115","13","3.038","53.8",".","15.4","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"","036
115","14","2.962","42.9","7.1","7.1","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".","7.1"
"","115
037","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
052","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
053","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
054","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
055","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
056","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
057","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
058","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
074","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
075","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
076","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
077","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
078","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","080
115","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","085
115","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","095
115","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
098","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","458","3.814","81.9","9.6","4.4","1.3","1.1","0.9","0.7",".",".",".",".",".",".",".",".","0.2"
"","125
001","19","3.842","94.7",".",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","002
125","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
