"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","43","3.953","88.4","4.7","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Practicum-Genetic Counselng","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Clinical Genetics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Contemp Pro Iss-Gen Cnslng","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Lit Search Strategies&Analysis","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Interviewing and Counseling","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"744
Biochm Genetics for Counselors","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","14","3.464","35.7","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","16","3.406","31.3","18.8","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","27","3.520","37.0","22.2","33.3",".",".",".",".",".",".",".",".",".","3.7",".",".","3.7"
"812","064","","26","3.423","30.8","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","88","3.459","33.0","23.9","40.9",".",".",".",".",".",".",".",".",".","1.1",".",".","1.1"
"813
Adv Pract-Genetic Counselng","005","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Peds Sub-Intrn Newborn-Milw","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"938","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
