"L&S","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","202","2.854","15.3","23.8","18.8","18.3","11.9","5.0","3.5","3.5",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","81","3.244","25.9","34.6","18.5","11.1","3.7","4.9",".","1.2",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","29","3.815","69.0","17.2","3.4","3.4",".",".",".","3.4",".",".",".",".","3.4",".",".","."
"310
Dynamics-Atmosphere&Ocean I","001","","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"323
Science of Climate Change","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Physics-Atmosphere&Ocean I","001","","11","3.273","18.2","45.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"331
Climatic Environments-Past","001","","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"425
Global Climate Processes","001","","22","3.500","31.8","36.4","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"452
Syn Lab I:Frontal Cyclone","001","","15","3.167","26.7","26.7","13.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Geophys Fluid Dynamics I","001","","19","3.632","47.4","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"630
Intro to Atm & Ocn Physics","001","","14","3.464","42.9","14.3","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intro-Physical Oceanography","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"698","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.909","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"701
Air Pollution Chemistry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"705
The Middle Atmosphere","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Topics-Theoretical Meteor","001","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar-Meteorology","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 276 of 423",""
