"Foundations of US Air Force I","Course Total","","16","3.844","75.0","18.8","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Evolution of US Air & Space I","201
001","","15","3.800","66.7","26.7","6.7",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Leadership Studies I","301
001","","18","4.000","100.0",".",".",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"National Security Affairs","401
001","","13","3.731","53.8","38.5","7.7",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"A F AERO
102","Dept. Total","","62","3.871","75.8","19.4","4.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","10","3.950","90.0","10.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","10","3.600","40.0","40.0","20.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","21","3.990","95.2","4.8",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","15","3.767","60.0","33.3","6.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","56","3.866","75.0","19.6","5.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","62","3.871","75.8","19.4","4.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
