"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.182","27.3","13.6","40.9","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.278","31.6","26.3","15.8","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"","101
003","22","2.727","13.6","27.3","27.3","9.1","4.5","9.1","9.1",".",".",".",".",".",".",".",".","."
"","004
101","23","2.978","21.7","13.0","43.5","8.7",".","13.0",".",".",".",".",".",".",".",".",".","."
"","101
005","22","3.364","45.5","27.3","13.6",".","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","108","3.098","27.8","21.3","28.7","5.6","8.3","4.6","2.8","0.9",".",".",".",".",".",".",".","."
"","102
001","18","3.278","38.9","11.1","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","102
002","22","3.136","27.3","9.1","40.9","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.405","38.1","23.8","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","004
102","24","3.292","16.7","37.5","37.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","005
102","17","3.029","29.4","17.6","23.5","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"","006
102","22","3.273","22.7","13.6","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","20","3.150","10.0","20.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","20","3.450","35.0","25.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","21","3.524","61.9","9.5","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","011
102","15","3.300","40.0","6.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","219","3.315","32.4","19.6","36.1","5.9","4.1","1.8",".",".",".",".",".",".",".",".",".","."
"","203
001","23","3.043","21.7","30.4","26.1","4.3","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","203
002","21","3.190","19.0","19.0","52.4",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","004
203","22","3.409","22.7","36.4","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
203","23","3.152","17.4","21.7","43.5","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","008
203","24","3.354","20.8","50.0","16.7","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
009","23","3.413","43.5","30.4","17.4",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","010
203","23","3.348","34.8","8.7","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
011","21","3.286","28.6","23.8","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","203
012","22","3.295","13.6","40.9","40.9",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
014","21","3.500","33.3","38.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
015","21","3.238","19.0","33.3","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","203
016","21","3.357","9.5","61.9","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
017","20","3.525","25.0","55.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
203","23","3.326","26.1","21.7","47.8",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
019","22","3.500","45.5","27.3","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
022","21","3.190","19.0","19.0","42.9","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"","023
203","23","3.457","34.8","34.8","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","024
203","21","2.833","14.3","9.5","42.9","14.3","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","395","3.301","25.1","31.1","32.4","5.3","4.8","0.8","0.5",".",".",".",".",".",".",".",".","."
"","204
001","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","24","3.667","54.2","25.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
204","24","3.354","37.5","16.7","33.3","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","006
204","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
204","23","3.565","47.8","26.1","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
008","24","3.375","33.3","25.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","009
204","24","3.708","75.0","4.2","8.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","204
010","23","3.478","47.8","30.4","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
