"L&S","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","279","3.135","26.9","20.8","21.5","19.7","8.6","1.1","1.1",".",".",".",".",".",".","0.4",".","."
"","002
103","227","2.911","15.4","20.3","22.0","20.3","19.4","0.4","1.3",".",".",".",".",".","0.9",".",".","."
"","003
103","165","3.042","24.8","19.4","21.8","17.0","13.9","1.2","1.8",".",".",".",".",".",".",".",".","."
"","103
311","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","Course Total","672","3.032","22.5","20.2","21.7","19.2","13.5","0.9","1.5",".",".",".",".",".","0.3","0.1",".","."
"","104
001","275","3.179","27.3","20.0","22.2","18.9","10.2",".",".","0.7",".",".",".",".","0.7",".",".","."
"","002
104","117","3.034","18.8","25.6","23.1","17.1","12.0",".","2.6",".",".",".",".",".","0.9",".",".","."
"General Physics","Course Total","392","3.136","24.7","21.7","22.4","18.4","10.7",".","0.8","0.5",".",".",".",".","0.8",".",".","."
"","109
001","125","3.492","40.8","28.8","20.8","7.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"","002
109","105","3.376","34.3","29.5","21.9","9.5","3.8",".","1.0",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","230","3.439","37.8","29.1","21.3","8.3","3.0",".","0.4",".",".",".",".",".",".",".",".","."
"Energy","115
001","108","3.319","38.9","21.3","19.4","11.1","7.4","0.9","0.9",".",".",".",".",".",".",".",".","."
"Directed Study","199
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","201
001","263","3.202","8.0","42.6","36.9","9.1","2.7","0.4","0.4",".",".",".",".",".",".",".",".","."
"","202
001","225","2.893","17.3","17.3","19.6","19.1","25.3","0.9",".","0.4",".",".",".",".",".",".",".","."
"","002
202","278","2.831","14.4","14.4","23.7","22.3","23.0","2.2",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","503","2.859","15.7","15.7","21.9","20.9","24.1","1.6",".","0.2",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","29","3.207","37.9","13.8","20.7","6.9","20.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","206
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","246","3.232","14.2","34.1","43.9","4.5","0.4","0.4","1.6",".",".",".",".",".","0.4",".",".","0.4"
"General Physics","208
001","188","3.152","22.3","26.6","26.1","16.5","3.7","4.3",".",".",".",".",".",".","0.5",".",".","."
"Intro to Modern Physics","241
001","65","2.961","20.0","13.8","32.3","21.5","4.6","3.1","3.1",".",".",".",".",".","1.5",".",".","."
"A Modern Intro to Physics","247
001","76","2.987","22.4","19.7","18.4","19.7","15.8","3.9",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","33","3.273","36.4","15.2","27.3","15.2","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Directed Study","298
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
099","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","307
001","24","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","26","3.692","42.3","53.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","61","3.639","39.3","49.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","54","2.944","13.0","11.1","42.6","22.2","9.3","1.9",".",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","32","3.094","21.9","25.0","28.1","18.8",".","3.1","3.1",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","30","3.286","33.3","13.3","33.3",".","13.3",".",".",".",".",".",".",".",".","3.3",".","3.3"
"Acoustics for Musicians","371
001","26","3.442","34.6","34.6","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","406
001","10","3.100","30.0","20.0","40.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","41","3.238","29.3","12.2","43.9",".","12.2",".",".",".",".",".",".",".","2.4",".",".","."
"Atomic and Quantum Physics","448
001","39","3.216","30.8","20.5","17.9","15.4","7.7","2.6",".",".",".",".",".",".",".",".","5.1","."
"Sci Bckgrnd-Globl Envr Prob","472
001","12","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","498
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
