"L&S","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"General Chem I Laboratory","101
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem II Laboratory","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
001","328","3.086","26.5","17.7","31.4","5.5","12.5","4.9","0.6","0.3",".",".",".",".","0.3","0.3",".","."
"","002
103","334","3.012","27.2","14.7","26.6","12.9","11.1","6.6","0.9",".",".",".",".",".",".",".",".","."
"","003
103","330","3.045","28.5","16.7","25.8","12.4","9.1","5.8","1.8",".",".",".",".",".",".",".",".","."
"","004
103","246","2.900","24.8","10.2","24.8","13.8","20.7","4.9","0.8",".",".",".",".",".",".",".",".","."
"","005
103","328","3.005","25.9","13.7","28.0","11.0","16.5","4.3","0.6",".",".",".",".",".",".",".",".","."
"","006
103","333","2.995","26.7","13.8","27.6","10.5","15.3","4.5","1.5",".",".",".",".",".",".",".",".","."
"","007
103","246","3.051","24.0","17.9","29.7","12.6","11.0","4.1","0.8",".",".",".",".",".",".",".",".","."
"General Chemistry I","Course Total","2145","3.016","26.4","15.0","27.7","11.1","13.6","5.0","1.0","0.0",".",".",".",".","0.0","0.0",".","."
"","104
001","277","2.878","24.2","17.0","25.3","7.2","13.4","9.0","3.2",".",".",".",".",".","0.7",".",".","."
"","002
104","231","2.963","24.2","12.6","28.6","8.7","22.9","2.2","0.9",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","508","2.917","24.2","15.0","26.8","7.9","17.7","5.9","2.2",".",".",".",".",".","0.4",".",".","."
"","109
001","247","3.287","36.0","19.4","24.3","12.1","5.7","2.0","0.4",".",".",".",".",".",".",".",".","."
"","002
109","213","3.279","32.4","20.7","28.2","12.7","4.2","1.4","0.5",".",".",".",".",".",".",".",".","."
"","109
003","70","3.393","42.9","14.3","30.0","7.1","4.3","1.4",".",".",".",".",".",".",".",".",".","."
"","004
109","151","3.129","22.5","23.2","24.5","18.5","10.6","0.7",".",".",".",".",".",".",".",".",".","."
"Advanced General Chemistry","Course Total","681","3.261","32.6","20.1","26.1","13.2","6.2","1.5","0.3",".",".",".",".",".",".",".",".","."
"Chemical Principles I","115
001","26","3.615","50.0","26.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research I","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","311
001","41","2.744","14.6","19.5","14.6","22.0","24.4",".","4.9",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","73","3.028","21.9","21.9","19.2","21.9","8.2","5.5",".",".",".",".",".",".","1.4",".",".","."
"Fundamentals of Analytical Sci","329
001","116","3.241","31.0","20.7","35.3","3.4","4.3","4.3","0.9",".",".",".",".",".",".",".",".","."
"Elementary Organic Chemistry","341
001","131","2.756","24.4","6.1","22.9","6.9","32.1","2.3","3.8",".",".",".",".",".","0.8",".","0.8","."
"","342
001","17","3.294","29.4","17.6","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
342","13","3.269","30.8","7.7","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Organic Chem Lab","Course Total","30","3.283","30.0","13.3","40.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","343
001","320","2.739","20.0","9.4","27.8","9.7","23.8","5.9","3.4",".",".",".",".",".",".",".",".","."
"","343
002","213","2.812","22.1","8.9","28.2","8.0","25.8","5.6","1.4",".",".",".",".",".",".",".",".","."
"","343
003","202","2.811","23.3","8.4","28.2","6.4","25.2","5.9","2.0","0.5",".",".",".",".",".",".",".","."
"","343
004","36","3.458","38.9","22.2","33.3","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"","005
343","296","2.620","18.2","14.2","17.9","11.1","22.3","8.8","5.7",".",".",".",".",".","1.0",".",".","0.7"
"Intro Organic Chemistry","Course Total","1067","2.759","21.2","10.9","25.4","8.9","23.3","6.5","3.3","0.1",".",".",".",".","0.3",".",".","0.2"
"","344
001","14","3.143","28.6","7.1","42.9","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 183 of 423",""
