"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"","200
001","137","3.124","24.1","32.8","17.5","12.4","7.3","2.9","2.9",".",".",".",".",".",".",".",".","."
"","200
002","100","3.182","21.0","39.0","19.0","11.0","3.0","4.0","2.0",".",".",".",".",".","1.0",".",".","."
"International Business","Course Total","237","3.148","22.8","35.4","18.1","11.8","5.5","3.4","2.5",".",".",".",".",".","0.4",".",".","."
"","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intercultural Communctn in Bus","320
001","25","3.700","44.0","52.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","329
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","365
001","199","3.950","95.0","2.0","2.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","403
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"INTL BUS
235","Dept. Total","492","3.384","55.5","22.2","10.4","5.7","3.3","1.6","1.2",".",".",".",".",".","0.2",".",".","."
