"EDU","","","","","","","","","","","","","","","","","","","",""
"","CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Crit Aspects Teach, Schl, Educ","240","001","55","3.973","96.4","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract in World Lang (K-12)","243","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Videogames & Learning","277","001","129","3.930","93.0","2.3","2.3","0.8",".","0.8",".",".",".",".",".",".",".","0.8",".","."
"Music Learning and Teaching 1","301","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305","001","21","3.762","90.5",".","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Rdg & Wrtg in Early Childhood","315","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Methods","316","002","20","3.947","90.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Teaching Reading and Writing","318","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Young English Learners","325","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mthds Young Eng Learners","327","001","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artistic Lives of Children","328","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Language of Schooling","338","001","23","3.652","65.2","8.7","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages (K-8)","342","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages(6-12)","343","001","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"Tchg of Hist & Other Soc St","359","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama for Teaching & Learning","","Course Total","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363","001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Education","364","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367","001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367","003","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","","Course Total","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368","001","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368","002","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","","Course Total","49","3.898","83.7","12.2","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369","002","24","3.896","87.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","369","003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","","Course Total","49","3.949","93.9","4.1",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","370","001","24","3.708","62.5","25.0","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","371","001","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","371","002","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","003","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","","Course Total","68","3.941","92.6","4.4","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","372","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372","002","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","","Course Total","46","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373","001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","","Page 85 of 423"
