"L&S","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","138
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
002","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
003","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
138","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
005","14","3.643","71.4","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","138
006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
138","13","3.577","76.9","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","138
008","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
009","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
010","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
138","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
012","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
138","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
014","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
015","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
138","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
017","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
018","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
019","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
020","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"CRC 1st Yr Smr: Lib Arts Educ","Course Total","252","3.877","85.3","9.5","3.6","0.8",".","0.4","0.4",".",".",".",".",".",".",".",".","."
"","157
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
015","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","157
016","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
017","11","",".",".",".",".",".",".",".",".",".","81.8","18.2",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","161","",".",".",".",".",".",".",".",".",".","98.1","1.9",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","80","3.894","81.3","16.3","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","136","3.515","44.9","29.4","13.2","8.8","0.7","0.7","0.7",".",".",".",".",".","0.7","0.7",".","."
"West Culture:Lit&The Arts I","203
001","145","3.290","26.9","29.0","29.7","6.2","4.8","1.4","0.7","1.4",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","110","3.255","20.9","36.4","30.9","7.3","1.8",".","2.7",".",".",".",".",".",".",".",".","."
"","253
001","22","3.409","22.7","54.5","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","253
002","24","3.273","12.5","33.3","37.5","8.3",".",".",".",".",".",".",".",".",".","8.3",".","."
"Literature and Society","Course Total","46","3.341","17.4","43.5","28.3","4.3",".","2.2",".",".",".",".",".",".",".","4.3",".","."
