"L&S","","","","","","","","","","","","","","","","","","","",""
"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","187","3.409","47.1","23.0","11.8","8.0","6.4","2.1","1.1",".",".",".",".",".",".",".",".","0.5"
"Global Language Issues","211","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","25","3.479","52.0","20.0","12.0",".","8.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"Language, History, and Society","303","001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Phonetics","306","001","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonology","310","001","11","3.364","36.4","18.2","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Syntax","330","001","22","3.286","36.4","13.6","36.4","4.5",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371","001","18","3.667","72.2","11.1","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Field Methods I","426","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Language and Culture","430","001","16","3.813","75.0","12.5",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Junior Honors Tutorial","481","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Morphology","522","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Tutorial","583","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","979","001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","990","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"Independent Reading","999","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
