"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"","999
085","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
094","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
097","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","28","3.838","53.6","10.7","7.1",".",".",".",".","14.3","",".",".","",".",".","7.1",".","7.1","."
"HISTORY
448","Dept. Total","2663","3.487","37.2","25.0","13.9","4.4","1.8","0.8","0.8","12.1","",".","1.0","",".","1.4","0.8","0.2","0.6","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","396","3.457","37.6","35.1","17.2","5.1","2.5","0.8","1.0",".","",".",".","",".",".","0.5",".",".","0.3"
"Sophomore","","500","3.465","40.8","30.8","17.6","6.0","2.0","1.2","1.0",".","",".",".","",".",".","0.4",".",".","0.2"
"Junior","","501","3.438","36.1","34.1","19.4","5.6","2.6","1.0","0.6","0.4","",".",".","",".",".","0.2",".",".","."
"Senior","","685","3.481","45.7","25.5","16.2","5.4","1.9","1.2","1.2","0.4","",".","0.1","",".","1.8","0.3","0.3",".","."
"Undergraduates","","2082","3.462","40.7","30.7","17.5","5.5","2.2","1.1","1.0","0.2","",".","0.0","",".","0.6","0.3","0.1",".","0.1"
"Special","","304","3.549","7.6","2.6","1.0","0.7","0.7",".","0.3","81.3","",".","0.3","",".",".",".","0.7","4.9","."
"Graduate","","277","3.916","43.7","7.2","0.7",".",".",".",".","24.9","",".","8.7","",".","9.0","5.1",".","0.7","."
"","Dept. Total","2663","3.487","37.2","25.0","13.9","4.4","1.8","0.8","0.8","12.1","",".","1.0","",".","1.4","0.8","0.2","0.6","0.1"
