"L&S","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Introduction to Psychology","201
001","25","2.700","12.0","24.0","12.0","20.0","20.0","12.0",".",".",".",".",".",".",".",".",".","."
"","202
001","290","2.993","28.6","19.0","21.0","10.7","10.0","6.6","3.4","0.3",".",".",".",".","0.3",".",".","."
"","202
002","356","2.815","15.4","18.3","27.5","12.1","18.3","6.5","2.0",".",".",".",".",".",".",".",".","."
"","003
202","235","3.762","80.0","7.7","5.5","2.6","3.0","0.4","0.9",".",".",".",".",".",".",".",".","."
"","004
202","353","2.754","14.2","18.1","22.4","17.6","19.3","5.7","2.8",".",".",".",".",".",".",".",".","."
"","005
202","349","3.245","35.8","20.6","23.8","7.7","7.4","3.4","1.1",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1583","3.069","31.6","17.3","21.1","10.7","12.3","4.7","2.1","0.1",".",".",".",".","0.1",".",".","."
"","210
001","60","2.442","10.0","5.0","30.0","10.0","33.3","5.0","6.7",".",".",".",".",".",".",".",".","."
"","210
002","55","2.318","9.1","5.5","21.8","10.9","40.0","3.6","9.1",".",".",".",".",".",".",".",".","."
"","003
210","60","2.305","10.0","6.7","15.0","10.0","43.3","6.7","6.7",".","1.7",".",".",".",".",".",".","."
"","210
004","63","3.008","30.2","11.1","25.4","9.5","17.5","1.6","3.2",".",".",".",".",".","1.6",".",".","."
"Basic Stats for Psychology","Course Total","238","2.528","15.1","7.1","23.1","10.1","33.2","4.2","6.3",".","0.4",".",".",".","0.4",".",".","."
"","225
001","68","3.221","33.8","8.8","39.7","5.9","10.3","1.5",".",".",".",".",".",".",".",".",".","."
"","002
225","87","2.960","11.5","16.1","40.2","17.2","14.9",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","155","3.074","21.3","12.9","40.0","12.3","12.9","0.6",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors - Research Methods","285
001","15","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
311","41","3.939","92.7","4.9",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","100","3.173","20.0","22.0","36.0","12.0","8.0",".",".","2.0",".",".",".",".",".",".",".","."
"","311
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","164","3.377","49.4","14.6","22.0","7.9","4.9",".",".","1.2",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Psych for Honors","386
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","3","***","","","","","","","","","","","","","","","",""
"","411
001","25","3.740","48.0","52.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
002","21","3.500","38.1","23.8","19.0","9.5",".",".",".",".",".",".",".",".","9.5",".",".","."
"","003
411","23","3.674","56.5","30.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","411
004","22","3.500","31.8","31.8","31.8",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","005
411","22","3.795","77.3","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","006
411","24","3.563","45.8","33.3","8.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","411
007","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","161","3.688","56.5","26.7","9.3","4.3","0.6",".",".","0.6",".",".",".",".","1.9",".",".","."
"Field Exper in Psychology","412
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","414
001","177","2.884","14.1","14.1","35.0","18.1","14.7","2.8","1.1",".",".",".",".",".",".",".",".","."
"","414
002","16","3.344","37.5","31.3","18.8",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Cognitive Psychology","Course Total","193","2.922","16.1","15.5","33.7","16.6","14.0","3.1","1.0",".",".",".",".",".",".",".",".","."
"Animal Behavior","449
001","80","2.913","13.8","13.8","36.3","13.8","22.5",".",".",".",".",".",".",".",".",".",".","."
"Honors Smr-Cognitive Psych","481
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Animal Behavior","487
001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Depth Topic","501
001","102","3.267","24.5","32.4","23.5","10.8","6.9","1.0",".","1.0",".",".",".",".",".",".",".","."
