"L&S","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","30","3.300","43.3","20.0","13.3","13.3","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","41","3.500","58.5","14.6","12.2","7.3","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","34","3.652","50.0","32.4","11.8",".","2.9",".",".",".",".",".",".",".",".",".",".","2.9"
"Lits of Cent Asia in Translatn","214","001","15","3.367","33.3","20.0","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","31","3.650","61.3","22.6","9.7",".",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"","226","001","16","3.469","50.0","31.3","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","226","002","7","3.000","57.1",".","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","","Course Total","23","3.326","52.2","21.7","13.0",".","4.3",".","8.7",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","13","3.542","30.8","38.5","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Manga","231","001","30","3.300","16.7","46.7","20.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","20","3.434","55.0","15.0","15.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Literature in Trans","252","001","13","3.308","23.1","46.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","30","3.741","76.7","10.0","6.7",".",".",".","3.3","3.3",".",".",".",".",".",".",".","."
"Italy & Invention of America","260","001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","39","3.897","84.6","10.3","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","13","3.308","15.4","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","001","12","3.167","8.3","33.3","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","271","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","","Course Total","15","3.292","13.3","40.0","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","275","001","58","3.414","34.5","41.4","15.5","3.4","1.7",".","3.4",".",".",".",".",".",".",".",".","."
"","275","002","31","3.484","67.7","19.4","3.2",".",".",".","9.7",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","89","3.443","46.1","33.7","11.2","2.2","1.1",".","5.6",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Vampire in Literature and Film","329","001","294","3.928","87.4","10.9","0.7","0.7",".",".",".",".",".",".",".",".",".",".","0.3","."
"In Transl:19C Scand Fiction","337","001","39","3.152","17.9","23.1","35.9","10.3","10.3",".",".",".",".",".",".",".",".","2.6",".","."
"In Trans:Mythlgy-Scandnavia","342","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Japanese Fiction","368","001","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","30","3.250","26.7","36.7","23.3","6.7",".","3.3","3.3",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Translation:Slavic Drama","423","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mod Serb&Croat Lit in Trans","455","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
