"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100
001","","12","3.375","16.7","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","","13","3.462","23.1","53.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","","13","3.154","7.7","23.1","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","006
100","","13","3.000","7.7","30.8","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","007
100","","13","3.231","15.4","30.8","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
009","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
100","","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
100","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
100","","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","","13","3.231",".","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
100","","12","3.333","8.3","50.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
100","","13","3.577","38.5","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","018
100","","12","3.375","16.7","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
100","","13","3.577","61.5","7.7","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","020
100","","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
100","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
100","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","023
100","","13","3.231","7.7","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","024
100","","13","3.385","7.7","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","025
100","","13","3.308",".","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","","13","3.308","15.4","46.2","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","028
100","","13","3.385","15.4","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","029
100","","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","031
100","","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","032
100","","12","2.833",".","33.3","41.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"","033
100","","13","3.308","7.7","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","034
100","","13","3.346","15.4","38.5","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","035
100","","12","3.333","8.3","66.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
036","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","037
100","","13","3.346","7.7","69.2","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
038","","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","039
100","","13","3.269","7.7","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","040
100","","13","3.269","15.4","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","041
100","","13","3.462","7.7","76.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
043","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
044","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","045
100","","12","3.417","8.3","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","047
100","","11","3.000",".","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","049
100","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 192 of 423",""
