"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"802
Vis Cult: Topics in Vis Cult","001","","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"815
Seminar-Medieval Art","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"855
Smr-19 Cent European Art","001","","8","3.700","25.0","37.5",".",".",".",".",".","12.5",".",".",".",".","25.0",".",".","."
"863
Seminar in Material Culture","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"876
Seminar in Chinese Art","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","20","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
