"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","26","3.885","88.5","7.7",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","115","3.296","33.0","26.1","28.7","5.2","1.7","3.5","1.7",".",".",".",".",".",".",".",".","."
"","210
001","24","3.826","75.0","8.3","12.5",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"","002
210","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
210","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
210","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","141","3.925","87.9","7.8","3.5",".",".",".",".",".",".",".",".",".",".","0.7",".","."
"Analytical Methods for EM Engr","219
001","115","3.796","80.9","6.1","7.8","1.7","3.5",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","91","3.148","26.4","16.5","34.1","13.2","7.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","121","3.004","21.5","25.6","19.8","11.6","14.0","5.8","0.8",".",".",".",".",".","0.8",".",".","."
"Intro-Solid State Electronics","235
001","73","3.049","20.5","16.4","31.5","17.8","11.0",".","1.4",".",".",".",".",".",".",".","1.4","."
"","252
001","120","3.403","37.5","38.3","10.0","3.3","6.7","1.7","1.7",".",".",".",".",".","0.8",".",".","."
"","002
252","27","3.111","40.7","11.1","11.1","18.5","14.8",".","3.7",".",".",".",".",".",".",".",".","."
"","005
252","23","3.283","52.2","8.7","8.7","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","170","3.340","40.0","30.0","10.0","7.1","8.8","1.8","1.8",".",".",".",".",".","0.6",".",".","."
"","270
001","48","3.875","89.6","8.3",".",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"","270
002","54","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","102","3.907","88.2","10.8",".",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"","271
001","16","3.250","50.0","12.5","6.3",".","31.3",".",".",".",".",".",".",".",".",".",".","."
"","271
002","29","3.362","44.8","24.1","6.9","6.9","17.2",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","45","3.322","46.7","20.0","6.7","4.4","22.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","303
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","317
002","12","3.750","75.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","28","3.821","82.1","7.1","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","28","3.804","75.0","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","31","3.355","48.4","16.1","9.7","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","39","3.205","43.6","12.8","17.9","7.7","10.3","7.7",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","25","3.180","32.0","16.0","28.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","18","3.306","50.0",".","22.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 120 of 423",""
