"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","003","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","004","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","37","3.851","78.4","13.5","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano
102","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Class Piano
108","101","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice
143","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","8","3.864","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","104","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","105","","6","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","22","3.862","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"146","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"146","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","19","3.958","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition
148","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","5","***","","","","","","","","","","","","","","","",""
"201","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","064","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 315 of 478",""
