"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","110
043","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
044","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
046","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
047","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
100","39","3.436","71.8","10.3","5.1",".","2.6",".","10.3",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","1058","3.906","90.8","5.5","1.7","0.6","0.6","0.5","0.4",".",".",".",".",".",".",".",".","."
"Exploring Business","112
001","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","25","3.480","56.0","16.0","12.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Human-centered Design/Business","Course Total","55","3.764","80.0","7.3","5.5","3.6","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Business Law","301
001","433","3.255","14.8","37.0","33.0","13.2","1.4",".",".","0.2",".",".",".",".","0.5",".",".","."
"","306
002","121","3.335","39.7","14.9","23.1","17.4","5.0",".",".",".",".",".",".",".",".",".",".","."
"","306
004","110","3.041","25.5","12.7","29.1","17.3","12.7","1.8","0.9",".",".",".",".",".",".",".",".","."
"","306
005","128","3.133","25.8","16.4","30.5","13.3","14.1",".",".",".",".",".",".",".",".",".",".","."
"","306
006","121","3.298","33.1","19.0","30.6","12.4","4.1",".","0.8",".",".",".",".",".",".",".",".","."
"Business Analytics I","Course Total","480","3.204","31.0","15.8","28.3","15.0","9.0","0.4","0.4",".",".",".",".",".",".",".",".","."
"","307
001","32","3.188","25.0","28.1","15.6","28.1",".","3.1",".",".",".",".",".",".",".",".",".","."
"","307
002","71","3.296","28.2","38.0","15.5","9.9","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","307
003","97","3.026","21.6","26.8","19.6","17.5","5.2","9.3",".",".",".",".",".",".",".",".",".","."
"","307
004","100","3.275","31.0","30.0","13.0","21.0","2.0","3.0",".",".",".",".",".",".",".",".",".","."
"","307
005","99","3.359","32.3","32.3","16.2","17.2",".","2.0",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","399","3.232","28.1","31.1","16.0","17.8","2.5","4.5",".",".",".",".",".",".",".",".",".","."
"Cloud Based Business Analytics","308
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
001","266","3.126","17.3","29.3","24.8","17.3","9.0","0.4","0.4","1.1",".",".",".",".",".",".","0.4","."
"Mgmt & Mrktg Non-Bus Majors","311
001","315","3.371","27.9","40.6","20.0","5.7","3.8","1.3","0.6",".",".",".",".",".",".",".",".","."
"Math Business Analytics","317
001","29","3.224","31.0","31.0","6.9","13.8","17.2",".",".",".",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
004","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
005","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
006","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
007","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
008","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
010","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
013","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
014","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
015","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
016","19","3.417","10.5","68.4","5.3","10.5",".",".",".",".",".",".",".",".",".","5.3",".","."
"","360
017","17","3.559","17.6","76.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
018","18","3.250","27.8","44.4","11.1","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","360
019","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 49 of 478"
