"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"","702","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","163","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","165","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","702","169","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","178","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Graduate Cooperative Education","","Course Total","","35","",".",".",".",".",".",".",".","94.3",".",".",".",".",".",".","5.7","."
"Princ of Programming Langs","704","001","","27","3.815","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Complexity","710","001","","28","3.143","21.4","25.0","35.7","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Optics & Imaging","722","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamic Prog & Assoc Topics","723","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","46","3.859","76.1","19.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Distributed Systems","739","001","","35","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Computer Networks","740","001","","19","3.737","68.4","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPC for Apps in Engr","759","001","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","760","001","","90","3.847","71.1","23.3","3.3",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Topics-Database Mgt Systems","764","001","","17","3.781","52.9","41.2",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Data Visualization","765","001","","67","3.597","31.3","61.2","4.5","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Adv Natural Lang Processing","769","001","","38","3.797","57.9","39.5",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Lrning Based Mthds for Com Vis","771","001","","44","4.000","97.7",".",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Computational Network  Biology","775","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cmpr Sec & Prvcy","782","001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Data Management","784","001","","22","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Algorithms","787","001","","33","3.773","57.6","39.4","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","155","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","170","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 230 of 478",""
