"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"","100
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","17","3.382","41.2","29.4","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","100
003","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","19","3.971","84.2","5.3",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Historical Studies: Intro","Course Total","68","3.818","77.9","11.8","5.9",".",".",".","1.5",".",".",".",".",".","2.9",".",".","."
"Amer Hist to Civil War Era","101
001","141","3.233","19.9","34.8","16.3","7.8","1.4","2.8","2.1",".",".",".",".",".",".",".","14.9","."
"Amer Hist-Civil War-Present","102
001","95","3.362","40.0","27.4","7.4","7.4","4.2","3.2","2.1",".",".",".",".",".",".","8.4",".","."
"Intro-E Asian History:China","103
001","29","3.407","37.9","34.5","10.3",".","6.9",".","3.4","6.9",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104
001","40","3.093","12.5","17.5","17.5","15.0","2.5","2.5",".","30.0",".",".",".",".",".",".","2.5","."
"Hist:The Univ in the West","107
001","10","3.300","60.0",".","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115
001","84","3.851","66.7","6.0","4.8","1.2","1.2",".",".",".",".",".",".",".","1.2",".","19.0","."
"Europe & the World, 1400-1815","119
001","67","3.814","55.2","14.9","4.5","1.5",".",".",".","22.4",".",".",".",".",".","1.5",".","."
"Europe&Mod World 1815-On","120
001","141","3.637","48.9","31.2","7.1","3.5","0.7","1.4",".","7.1",".",".",".",".",".",".",".","."
"Intro to World History","130
001","88","3.843","68.2","5.7","3.4","1.1",".",".","1.1","20.5",".",".",".",".",".",".",".","."
"Global Military History","133
001","54","3.455","44.4","18.5","7.4","3.7","3.7",".","3.7",".",".",".",".",".",".",".","18.5","."
"Sport, Rec., & Society in U.S.","136
001","142","3.518","45.1","27.5","14.8","5.6","3.5",".","0.7","2.8",".",".",".",".",".",".",".","."
"History of Race and Inequality","143
001","14","3.607","71.4",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"The N. American West to 1850","151
001","115","3.826","80.0","11.3","4.3","2.6","1.7",".",".",".",".",".",".",".",".",".",".","."
"Latina/Latino/Latinx History","153
001","20","3.050","50.0","10.0","10.0","10.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"Who is an American?","154
001","186","3.778","56.5","12.4","4.8",".","2.2","0.5",".",".",".",".",".",".",".",".","23.7","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","65","3.731","64.6","6.2","7.7","1.5",".","3.1",".","15.4",".",".",".",".",".",".",".","1.5"
"East Meets West","170
002","24","3.542","54.2","25.0","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Historical Studies","200
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","40","3.650","55.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","42","3.607","71.4","9.5","4.8","7.1","4.8",".","2.4",".",".",".",".",".",".",".",".","."
"","201
006","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","14","3.679","78.6","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","201
014","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
015","41","3.463","51.2","24.4","14.6","4.9",".",".","4.9",".",".",".",".",".",".",".",".","."
"","201
016","15","3.433","33.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
017","16","3.563","62.5","25.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","201
018","27","2.759","11.1","29.6","14.8","18.5","18.5",".","7.4",".",".",".",".",".",".",".",".","."
"","201
019","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
021","14","3.179","42.9","28.6","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","293","3.526","57.7","20.5","10.9","5.5","2.4","0.7","2.4",".",".",".",".",".",".",".",".","."
"West Intell & Rel Hist to 1500","208
001","43","3.534","30.2","20.9","7.0","9.3",".",".",".","32.6",".",".",".",".",".",".",".","."
"","229
001","18","3.200","27.8","11.1","22.2","11.1","11.1",".",".","5.6",".",".",".",".",".",".","11.1","."
