"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","10","2.944","30.0","10.0","10.0",".","40.0",".","",".",".","",".",".","",".","",".",".",".","10.0","."
"Undergraduates","13","2.833","30.8","15.4","7.7",".","30.8",".","","7.7",".","",".",".","",".","",".",".",".","7.7","."
"Special","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","115","3.989","80.9","1.7",".",".",".",".","",".","17.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","27","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","376","3.344","25.0","7.2","13.0","1.6","2.9","0.3","",".","49.7","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 4","325","4.000","44.3",".",".",".",".",".","",".","55.7","",".",".","",".","",".",".",".",".","."
"Professionals","843","3.606","42.5","3.4","5.8","0.7","1.3","0.1","",".","46.0","",".",".","",".","",".","0.1",".",".","."
