"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Topics-Mass Communication
676","062","","55","3.727","54.5","38.2","5.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"677","001","","32","3.922","90.6","3.1","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","002","","32","3.891","84.4","9.4","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concepts and Tools for Data An","Course Total","","64","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis
682","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","015","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internship","Course Total","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Mass Communication and Society
802","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Political Communication
829","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"News Frming & Soc Prtst Movmnt
835","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Mass Communication
880","058","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn
901","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","31","",".",".",".",".",".",".",".","58.1",".",".",".","41.9",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research Prob","Course Total","","2","***","","","","","","","","","","","","","","","",""
