"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","33","3.682","84.8","3.0",".",".","6.1","6.1",".",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","49","3.745","55.1","40.8","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","159","001","","27","3.407","51.9","25.9","11.1","3.7",".",".","7.4",".",".",".",".",".",".",".",".","."
"","159","002","","23","3.848","82.6","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","159","003","","23","3.783","73.9","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","","Course Total","","73","3.664","68.5","16.4","8.2","4.1",".",".","2.7",".",".",".",".",".",".",".",".","."
"Architectural Visualization","250","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","60","3.475","35.0","38.3","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","57","3.193","19.3","22.8","40.4","12.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","57","3.026","21.1","19.3","22.8","21.1","14.0","1.8",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","96","3.859","82.3","10.4","5.2","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","19","3.763","78.9","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Envr Engr Thermodynamics","324","001","","23","3.413","34.8","34.8","17.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","42","3.488","31.0","38.1","23.8","4.8",".",".",".",".",".",".",".",".","2.4",".",".","."
"Structural Analysis I","340","001","","31","3.371","22.6","45.2","16.1","16.1",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","27","3.167","18.5","40.7","22.2",".","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","7","3.143","42.9","14.3","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","39","3.308","28.2","25.6","30.8","10.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"Env Sustain Eng","421","001","","30","3.783","70.0","16.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Env Engr Microbiology","425","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426","002","","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","002","","47","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Structural Analysis II","440","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Steel Structures I","445","001","","24","3.109","8.3","25.0","45.8","12.5","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Architectural Design","451","001","","20","3.789","60.0","30.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Legal Aspects-Engineering","491","001","","15","3.267","13.3","33.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","41","3.415","39.0","29.3","22.0",".","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","57","3.623","49.1","31.6","14.0","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","14","3.536","50.0","21.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hydrologic Data Analysis","516","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","525","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","525","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cases Infrstr Sust & Climate","","Course Total","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
