"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People
123","001","","29","3.603","65.5","13.8","13.8","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"Antibiotic Discovery Research
154","002","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Turf Management
261","001","","7","2.700","14.3",".","14.3","14.3","28.6",".",".",".",".",".",".",".",".","28.6",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Intro to Plant Pathology
300","001","","42","3.813","73.8","11.9","7.1",".","2.4",".",".",".",".",".",".",".",".",".","4.8","."
"Global Food Security
311","001","","159","3.687","65.4","21.4","6.9","3.1","0.6",".","1.9",".",".",".",".",".",".",".","0.6","."
"Soil Biology
323","001","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Study - Organic Agr
499","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Disease Resistance
517","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecol&Epidemiol-Plt Diseases
602","002","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication
640","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology and Genetics of Fungi
655","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Plant Pathology Tchg
799","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar
923","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","27.8",".",".",".","72.2",".",".",".","."
