"ENGR MECHANICS & AEROSPA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Mechanics and Aerospace","200
001","25","3.820","80.0","8.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","147","2.908","19.7","21.8","23.1","11.6","12.9","9.5","0.7",".",".",".",".",".","0.7",".",".","."
"","201
002","106","3.009","25.5","17.9","17.9","21.7","12.3","3.8","0.9",".",".",".",".",".",".",".",".","."
"Statics","Course Total","253","2.950","22.1","20.2","20.9","15.8","12.6","7.1","0.8",".",".",".",".",".","0.4",".",".","."
"Dynamics","202
001","261","3.247","28.0","28.4","21.8","14.2","5.0","2.7",".",".",".",".",".",".",".",".",".","."
"","303
001","148","2.875","10.8","18.2","29.7","21.6","18.2","0.7","0.7",".",".",".",".",".",".",".",".","."
"","303
002","192","2.859","13.0","18.2","30.2","15.1","18.2","5.2",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","340","2.866","12.1","18.2","30.0","17.9","18.2","3.2","0.3",".",".",".",".",".",".",".",".","."
"","307
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
017","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","141","3.929","87.2","11.3","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","25","3.300","24.0","24.0","40.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","34","3.515","35.3","32.4","26.5","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Honors in Research","489
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","53","3.198","30.2","24.5","24.5","7.5","9.4","1.9","1.9",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","53","3.500","35.8","37.7","18.9","1.9",".",".","1.9",".",".",".",".",".","3.8",".",".","."
"Rocket Propulsion","524
001","27","3.352","33.3","37.0","18.5","3.7",".","7.4",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Analysis","540
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","47","2.851","8.5","14.9","38.3","19.1","17.0","2.1",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","16","3.625","62.5","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","599
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
056","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 139 of 478",""
