"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","360
020","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
021","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
022","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
023","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
024","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
025","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
026","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
027","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
028","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
029","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
030","18","3.639","55.6","27.8","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","360
031","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
032","19","3.789","68.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
033","18","3.583","33.3","55.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","360
034","20","3.625","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
100","15","3.333","26.7","26.7","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Workplace Communication","Course Total","575","3.745","58.8","34.1","5.2","1.2","0.3",".","0.2",".",".",".",".",".",".","0.2",".","."
"Case Interview Analysis","370
001","60","3.992","98.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","656
001","38","3.865","71.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"","656
010","64","3.891","82.8","12.5","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656
011","43","3.686","60.5","18.6","18.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning-BusAnalytics","Course Total","145","3.823","73.1","17.9","7.6","0.7",".",".",".",".",".",".",".",".",".",".","0.7","."
"","704
020","53","3.481","22.6","54.7","20.8",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","704
021","43","3.512","30.2","41.9","27.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data to Decisions","Course Total","96","3.495","26.0","49.0","24.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","720
010","56","3.688","44.6","48.2","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
011","42","3.643","47.6","38.1","11.9",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","720
012","32","3.645","43.8","40.6","9.4","3.1",".",".",".",".",".",".",".",".",".","3.1",".","."
"","720
050","43","3.640","27.9","72.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Data Visualization","Course Total","173","3.653","41.0","50.3","6.9","0.6","0.6",".",".",".",".",".",".",".",".","0.6",".","."
"","730
010","60","3.783","68.3","21.7","8.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","730
011","46","3.859","78.3","15.2","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
080","42","3.810","73.8","16.7","7.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Prescriptive Modeling & Opt","Course Total","148","3.814","73.0","18.2","7.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","740
010","33","3.576","39.4","42.4","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","740
011","60","3.492","33.3","36.7","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","740
012","20","3.475","30.0","50.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","740
050","43","3.698","46.5","46.5","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
080","40","3.513","40.0","30.0","25.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Expmnts CausMthds-","Course Total","196","3.554","38.3","39.8","16.8","4.6","0.5",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 50 of 478"
