"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"Introductory Geology","100","001","488","3.463","37.3","36.1","17.8","4.1","3.5","0.2","1.0",".",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","46","3.380","37.0","28.3","19.6","4.3","10.9",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","131","3.623","58.0","24.4","9.9","3.1","1.5","1.5","0.8",".",".",".",".",".",".",".","0.8","."
"Geology of the National Parks","109","001","111","3.575","33.3","14.4","6.3","2.7","2.7","0.9",".","39.6",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","172","3.287","36.0","20.3","18.0","11.0","7.6","1.2","1.2","4.7",".",".",".",".",".",".",".","."
"Life in Earth's Extreme Envir","117","001","38","3.724","55.3","34.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters","140","001","97","3.590","43.3","27.8","6.2","5.2","2.1","1.0",".","14.4",".",".",".",".",".",".",".","."
"Intro to Geologic Structures","202","001","21","3.095","28.6","14.3","33.3","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","9","3.222","44.4","22.2","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","249","3.689","57.8","26.5","8.0","2.8","2.4",".",".",".",".",".",".",".",".","2.4",".","."
"Past Climatic Environments","335","001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","16","3.367","25.0","37.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"Sedimentary & Stratigraphy Lab","431","001","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Invertebrate Paleontology","542","001","12","3.667","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hydrogeology","627","001","17","3.438","29.4","35.3","23.5",".","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"Senior Honors Thesis","681","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","698","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Quantitative Geomorphology","701","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Glaciology","720","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","875","003","11","4.000","81.8",".",".",".",".",".",".","9.1",".",".",".",".",".",".","9.1","."
"","875","004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","54","3.981","92.6","1.9",".",".",".",".",".","3.7",".",".",".",".",".",".","1.9","."
