"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"","203
004","","17","3.313","35.3","29.4","5.9","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"Third Semester Japanese","Course Total","","71","3.393","40.8","29.6","8.5","11.3","5.6","2.8",".","1.4",".",".",".",".",".",".",".","."
"","205
001","","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
002","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","Course Total","","38","3.855","78.9","13.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Asian Language","221
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","223
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","223
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Third Semester Hmong","225
001","","15","3.500","60.0","20.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","227
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","227
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Indonesian","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Third Semester Thai","229
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","231
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Vietnamese","Course Total","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hindi","233
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Persian","237
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Urdu","239
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","18","3.444","38.9","33.3","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","18","3.278","50.0","22.2","5.6",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","301
003","","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","Course Total","","54","3.444","44.4","29.6","14.8",".","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"","303
001","","19","3.579","52.6","21.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","Course Total","","33","3.652","57.6","24.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","305
001","","9","3.500","55.6","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Classical Chinese","311
001","","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Classical Chinese","315
001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Hmong","325
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Thai","329
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","331
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","331
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Fifth Semester Persian","337
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Urdu","339
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Indonesian","348
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
