"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Independent Work","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"416
GEOG","Dept. Total","1624","3.571","55.1","15.9","14.3","3.5","2.6","1.0","0.9","4.1","",".",".","",".","1.0","0.3","0.1","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","118","3.453","47.5","20.3","19.5","6.8","4.2","0.8","0.8",".","",".",".","",".",".",".",".",".","."
"Sophomore","","306","3.522","52.9","17.3","20.6","3.6","3.3","1.0","1.0",".","",".",".","",".",".","0.3",".",".","."
"Junior","","393","3.542","55.5","19.3","15.8","4.6","2.8","1.3","0.5",".","",".",".","",".",".",".",".","0.3","."
"Senior","","489","3.583","60.1","16.8","13.3","3.9","2.5","1.2","1.2",".","",".",".","",".","0.8","0.2",".",".","."
"Undergraduates","","1306","3.545","55.9","18.0","16.3","4.3","2.9","1.1","0.9",".","",".",".","",".","0.3","0.2",".","0.1","."
"Special","","70","3.384","21.4","2.9","5.7",".","2.9","1.4","1.4","37.1","",".",".","",".",".","1.4",".","25.7","."
"Graduate","","248","3.771","60.5","8.5","6.5","0.4","0.8","0.4","0.4","16.5","",".",".","",".","4.8","0.8","0.4",".","."
"","Dept. Total","1624","3.571","55.1","15.9","14.3","3.5","2.6","1.0","0.9","4.1","",".",".","",".","1.0","0.3","0.1","1.2","."
