"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"","103","002","56","3.526","39.3","14.3","7.1","5.4","1.8",".","1.8","30.4",".",".",".",".",".",".",".","."
"","103","003","184","3.798","80.4","12.5","2.7","0.5","0.5","1.6","1.1",".",".",".",".",".","0.5",".",".","."
"Topics in Art History","","Course Total","240","3.750","70.8","12.9","3.8","1.7","0.8","1.3","1.3","7.1",".",".",".",".","0.4",".",".","."
"History of Western Art II","202","001","321","3.649","45.2","7.2","5.0","0.6","0.9","0.9","1.9","38.3",".",".",".",".",".",".",".","."
"History of World in 20 Bldgs","210","001","77","3.955","81.8","1.3","1.3","1.3",".",".",".","13.0",".",".",".",".","1.3",".",".","."
"Intro-Africn Art&Architectr","241","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","32","3.950","90.6",".",".","3.1",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"Art&Archaeology-Ancient Greece","300","001","26","3.239","38.5","11.5","15.4","7.7","11.5","3.8",".","11.5",".",".",".",".",".",".",".","."
"Greek Sculpture","302","001","19","3.536","26.3","26.3","21.1",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","303","001","50","3.449","44.0","30.0","10.0","6.0","4.0","4.0",".","2.0",".",".",".",".",".",".",".","."
"","303","002","21","3.867","52.4","19.0",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Topics in Art History","","Course Total","71","3.547","46.5","26.8","7.0","4.2","2.8","2.8",".","9.9",".",".",".",".",".",".",".","."
"Ancient Chinese Art & Religion","307","001","27","3.609","44.4","18.5","18.5","3.7",".",".",".","14.8",".",".",".",".",".",".",".","."
"Icons, Religion, and Empire","310","001","28","2.944","7.1","7.1","7.1","3.6","3.6","3.6",".","64.3",".",".",".",".",".","3.6",".","."
"19th C Painting in Europe","350","001","51","3.721","39.2","21.6","3.9",".","2.0",".",".","31.4",".",".",".",".",".",".",".","2.0"
"Cities of Asia","379","001","21","3.385","9.5","28.6","23.8",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"Topics in Art History","403","001","24","3.868","58.3","20.8",".",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"Topics in 19th Century Art","407","001","25","3.620","60.0","20.0","12.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","430","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430","002","35","3.871","80.0","14.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Visual Culture","","Course Total","41","3.805","73.2","14.6","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Ancient Art","505","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","004","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Special Topics-Art History","","Course Total","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Senior Honors Thesis","681","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Art History","701","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in 19th Cent. Art","707","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Medieval Art","715","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Early Modern Art","731","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Chinese Art History","776","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tpcs: Arch. & Urbanism of Asia","779","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
