"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
002","28","3.268","35.7","28.6","17.9","3.6","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","101
003","30","3.133","36.7","16.7","13.3","10.0","20.0","3.3",".",".",".",".",".",".",".",".",".","."
"","101
004","28","3.643","64.3","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","101
005","28","3.304","42.9","7.1","32.1","3.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","101
006","28","3.411","50.0","10.7","21.4","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"","101
007","25","3.000","32.0","24.0","8.0","8.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","101
009","27","3.222","29.6","22.2","29.6","7.4","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","194","3.286","41.8","17.5","19.6","5.7","12.4","2.6","0.5",".",".",".",".",".",".",".",".","."
"","102
001","24","3.292","50.0","8.3","20.8","8.3","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"","102
003","25","2.840","24.0","16.0","28.0","8.0","12.0","4.0","8.0",".",".",".",".",".",".",".",".","."
"","102
004","29","3.276","34.5","17.2","31.0","3.4","13.8",".",".",".",".",".",".",".",".",".",".","."
"","102
005","27","3.056","33.3","11.1","18.5","7.4","29.6",".",".",".",".",".",".",".",".",".",".","."
"","102
006","24","2.958","33.3","4.2","16.7","20.8","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"","102
007","26","3.558","50.0","19.2","26.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","102
008","21","3.405","42.9","23.8","14.3","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
009","26","3.250","38.5","7.7","26.9","19.2","7.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","202","3.203","38.1","13.4","23.3","9.4","13.4","1.0","1.5",".",".",".",".",".",".",".",".","."
"","203
001","29","3.034","17.2","27.6","34.5",".","17.2",".","3.4",".",".",".",".",".",".",".",".","."
"","203
002","28","3.679","53.6","32.1","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","30","3.500","60.0","13.3","16.7",".","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"","203
004","30","3.450","53.3","20.0","10.0","10.0","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","203
005","25","3.400","48.0","12.0","24.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","203
007","23","3.348","52.2","13.0","17.4","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","165","3.403","47.3","20.0","18.8","3.6","7.9",".","2.4",".",".",".",".",".",".",".",".","."
"","204
001","17","3.618","64.7","5.9","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","19","3.289","31.6","21.1","31.6","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","204
003","24","3.229","33.3","25.0","25.0","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"","204
004","21","3.548","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","24","3.542","54.2","16.7","20.8",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","204
007","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","204
008","16","3.344","43.8","6.3","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","134","3.433","44.0","19.4","25.4","4.5","6.0",".","0.7",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","223
001","83","3.458","51.8","16.9","16.9","7.2","4.8","1.2","1.2",".",".",".",".",".",".",".",".","."
"","224
001","81","3.605","50.6","29.6","16.0",".","2.5","1.2",".",".",".",".",".",".",".",".",".","."
"","224
002","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","98","3.653","56.1","26.5","14.3",".","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Linguistic Study of Spanish","225
001","78","3.583","48.7","26.9","17.9","5.1","1.3",".",".",".",".",".",".",".",".",".",".","."
"","226
003","26","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
004","26","3.788","69.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
005","25","3.820","76.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
007","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
